code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3158196	1607734	1553562
DE-BE	5262519	2585067	2502069
DE-BUND	374346	194018	186364
DE-BW	14854818	7481876	7302398
DE-BY	17715619	8870083	8634682
DE-HB	1102535	556293	539564
DE-HE	8679141	4404782	4204033
DE-HH	2752014	1392050	1355609
DE-MV	2169133	1094072	1063295
DE-NI	11359260	5801325	5565727
DE-NW	26321277	13344274	12743886
DE-RP	5752627	2932354	2764228
DE-SH	4318245	2168503	2099164
DE-SL	1493887	751452	729671
DE-SN	4825247	2421828	2335061
DE-ST	2819680	1426658	1396839
DE-TH	2698191	1334316	1306177
