code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4720348	1758600	1750684	1324114
DE-BE	7765578	2852786	2831888	2211823
DE-BUND	531793	202084	195085	142769
DE-BW	22369217	8222963	8253503	6375094
DE-BY	26512609	9735318	9844943	7437974
DE-HB	1620107	615184	608072	445137
DE-HE	12883327	4837126	4705559	3592920
DE-HH	4112053	1546305	1545849	1129249
DE-MV	3260893	1199004	1201854	926211
DE-NI	17198556	6286969	6230771	5116008
DE-NW	38909986	14436895	14188620	11106037
DE-RP	8535207	3182573	3086746	2433623
DE-SH	6671627	2344251	2355060	2107483
DE-SL	2227358	812038	810851	654069
DE-SN	7148853	2655422	2623959	1971223
DE-ST	4260242	1571126	1600590	1196758
DE-TH	3993795	1489796	1493150	1105552
