code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4815003	1760576	1643700	1327956
DE-BE	8068739	2907877	2763265	2224258
DE-BUND	533726	201891	189428	141768
DE-BW	23062628	8343185	7930032	6392254
DE-BY	27247210	9844229	9520871	7437330
DE-HB	1689046	617291	576705	438847
DE-HE	13297430	4883338	4529885	3589746
DE-HH	4334803	1599681	1488053	1134178
DE-MV	3370084	1211895	1154606	927928
DE-NI	18001222	6365611	5897718	5140616
DE-NW	40717042	14614803	13601197	11149065
DE-RP	8840530	3210769	2956394	2441629
DE-SH	6926822	2352503	2247159	2117714
DE-SL	2305301	818719	770693	655012
DE-SN	7261876	2669060	2542808	1975411
DE-ST	4405118	1608712	1528629	1202159
DE-TH	4074144	1499407	1420930	1103125
