code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2831467	1509806	1412223
DE-BE	4566239	2410132	2256907
DE-BUND	359532	187434	177331
DE-BW	13372740	7031301	6717571
DE-BY	15706352	8259253	7839533
DE-HB	969358	518925	487526
DE-HE	7755023	4134612	3825666
DE-HH	2417624	1286960	1204726
DE-MV	1946895	1029116	970144
DE-NI	10216079	5503596	5082100
DE-NW	23489035	12628798	11553889
DE-RP	5151502	2757057	2529937
DE-SH	3857302	2062859	1912656
DE-SL	1343336	711762	670412
DE-SN	4317370	2267366	2137870
DE-ST	2531114	1341437	1280332
DE-TH	2388908	1250433	1202140
