code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4351331	1727538	1679605	1056622
DE-BE	7163881	2796039	2706930	1788338
DE-BUND	503713	200786	192058	119010
DE-BW	20944807	8080005	7920001	5422742
DE-BY	24625257	9565620	9441818	6121334
DE-HB	1500368	602476	581405	364372
DE-HE	11835230	4735419	4505055	2846063
DE-HH	3674966	1490513	1451130	840767
DE-MV	3001200	1176708	1152257	737989
DE-NI	15887504	6152957	5952410	4214597
DE-NW	36076403	14179992	13622764	9086409
DE-RP	7954314	3120981	2959921	2040210
DE-SH	5988441	2297462	2254723	1570896
DE-SL	2090649	799906	778555	561344
DE-SN	6571777	2604153	2513329	1555480
DE-ST	3870897	1539143	1523954	915697
DE-TH	3691493	1461252	1426197	898007
