code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4594921	1748062	1723988	1235703
DE-BE	7575600	2830597	2789614	2085686
DE-BUND	525642	201509	194182	138092
DE-BW	21934210	8174197	8138301	6102831
DE-BY	25943786	9681549	9705371	7061908
DE-HB	1582854	610525	597776	422674
DE-HE	12549335	4805831	4628633	3366735
DE-HH	3906225	1510568	1492505	1011296
DE-MV	3170583	1190870	1180770	864941
DE-NI	16750402	6243643	6124568	4816531
DE-NW	37958308	14344416	13984909	10447457
DE-RP	8332836	3159861	3037432	2302636
DE-SH	6385330	2330854	2316061	1873331
DE-SL	2180544	808142	799820	622107
DE-SN	6956427	2638199	2580478	1839337
DE-ST	4137082	1560992	1571752	1112497
DE-TH	3894197	1479315	1467926	1041385
