code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3116419	1601478	1546632
DE-BE	5162519	2562556	2482000
DE-BUND	373093	193876	186146
DE-BW	14661198	7446393	7264034
DE-BY	17407355	8805281	8578894
DE-HB	1088088	554557	537435
DE-HE	8569719	4382906	4184312
DE-HH	2716817	1386537	1348297
DE-MV	2138195	1089094	1057710
DE-NI	11206086	5781242	5538908
DE-NW	26003808	13305029	12692157
DE-RP	5688794	2924746	2753759
DE-SH	4285047	2163131	2094348
DE-SL	1471749	748793	726694
DE-SN	4751980	2410714	2324660
DE-ST	2778391	1419609	1388540
DE-TH	2647777	1327375	1298896
