code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10593298	6312088	4530296
DE-BY	12359497	7349733	5276900
DE-BE	3492709	2093936	1474581
DE-BB	2237070	1354647	950101
DE-HB	726639	456596	292981
DE-HH	1744909	1060241	733167
DE-HE	5967922	3582247	2525754
DE-MV	1581204	920371	696857
DE-NI	7692928	4802340	3154646
DE-NW	18447952	10917171	8057641
DE-RP	3976333	2415711	1661925
DE-SL	1043286	612865	455568
DE-SN	3533908	2010447	1588928
DE-ST	2006114	1190770	876200
DE-SH	2954213	1784705	1249172
DE-TH	1941008	1137554	842019
