code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3671550	1672007	1595307	514709
DE-BE	6129568	2702895	2611319	939388
DE-BUND	427509	197240	188289	50101
DE-BW	17462929	7773500	7520197	2635759
DE-BY	20892291	9228970	8942764	3216672
DE-HB	1239878	577149	552465	156809
DE-HE	9924864	4559360	4312715	1298862
DE-HH	3101359	1443281	1398902	363700
DE-MV	2519195	1141600	1092900	349618
DE-NI	13161508	5967562	5702679	1918440
DE-NW	30626355	13706095	13048380	4668442
DE-RP	6645683	3019589	2826421	963448
DE-SH	4990412	2227930	2159035	737654
DE-SL	1753111	775819	746360	279167
DE-SN	5566364	2506735	2390739	768683
DE-ST	3301788	1494249	1441281	473067
DE-TH	3127019	1404436	1352620	461482
