BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
243,84.08,46,15.92,289,3,3,1.04,100,05314,"Bonn, Stadt",null,18
423,85.98,69,14.02,492,23,18,4.67,78.26,05315,"Köln, Stadt",null,31
81,76.42,25,23.58,106,0,0,0,0,05316,"Leverkusen, Stadt",null,5
268,91.78,24,8.22,292,2,2,0.68,100,05334,Städteregion Aachen,null,13
45,57.69,33,42.31,78,1,0,1.28,0,05358,Düren,null,7
53,71.62,21,28.38,74,0,0,0,0,05362,Rhein-Erft-Kreis,null,7
18,60,12,40,30,0,0,0,0,05366,Euskirchen,null,3
29,80.56,7,19.44,36,1,1,2.78,100,05370,Heinsberg,null,3
80,68.38,37,31.62,117,0,0,0,0,05374,Oberbergischer Kreis,null,7
36,69.23,16,30.77,52,0,0,0,0,05378,Rheinisch-Bergischer Kreis,null,4
72,87.8,10,12.2,82,1,0,1.22,0,05382,Rhein-Sieg-Kreis,null,7
26,38.81,41,61.19,67,0,0,0,0,05512,"Bottrop, Stadt",null,2
81,64.8,44,35.2,125,1,1,0.8,100,05513,"Gelsenkirchen, Stadt",null,8
228,84.44,42,15.56,270,3,1,1.11,33.33,05515,"Münster, Stadt",null,9
46,58.97,32,41.03,78,0,0,0,0,05554,Borken,null,6
24,55.81,19,44.19,43,0,0,0,0,05558,Coesfeld,null,5
170,69.11,76,30.89,246,1,0,0.41,0,05562,Recklinghausen,null,15
74,68.52,34,31.48,108,0,0,0,0,05566,Steinfurt,null,7
38,52.05,35,47.95,73,0,0,0,0,05570,Warendorf,null,6
116,71.6,46,28.4,162,2,1,1.23,50,05711,"Bielefeld, Stadt",null,6
26,56.52,20,43.48,46,0,0,0,0,05754,Gütersloh,null,3
49,64.47,27,35.53,76,1,1,1.32,100,05758,Herford,null,5
31,58.49,22,41.51,53,0,0,0,0,05762,Höxter,null,5
60,77.92,17,22.08,77,0,0,0,0,05766,Lippe,null,2
203,74.09,71,25.91,274,2,1,0.73,50,05770,Minden-Lübbecke,null,8
98,70.5,41,29.5,139,2,2,1.44,100,05774,Paderborn,null,7
171,76.34,53,23.66,224,3,2,1.34,66.67,05911,"Bochum, Stadt",null,8
253,81.61,57,18.39,310,2,1,0.65,50,05913,"Dortmund, Stadt",null,9
58,68.24,27,31.76,85,3,2,3.53,66.67,05914,"Hagen, Stadt der FernUniversität",null,7
69,60.53,45,39.47,114,1,1,0.88,100,05915,"Hamm, Stadt",null,7
51,77.27,15,22.73,66,2,1,3.03,50,05916,"Herne, Stadt",null,4
102,76.12,32,23.88,134,2,1,1.49,50,05954,Ennepe-Ruhr-Kreis,null,7
83,65.35,44,34.65,127,0,0,0,0,05958,Hochsauerlandkreis,null,10
84,67.74,40,32.26,124,1,0,0.81,0,05962,Märkischer Kreis,null,10
18,48.65,19,51.35,37,2,1,5.41,50,05966,Olpe,null,3
94,65.73,49,34.27,143,2,1,1.4,50,05970,Siegen-Wittgenstein,null,8
61,68.54,28,31.46,89,1,0,1.12,0,05974,Soest,null,9
84,71.79,33,28.21,117,2,0,1.71,0,05978,Unna,null,8
74,67.27,36,32.73,110,2,2,1.82,100,06411,"Darmstadt, Wissenschaftsstadt",null,7
258,84.59,47,15.41,305,9,3,2.95,33.33,06412,"Frankfurt am Main, Stadt",null,17
93,89.42,11,10.58,104,1,0,0.96,0,06413,"Offenbach am Main, Stadt",null,4
77,71.96,30,28.04,107,4,2,3.74,50,06414,"Wiesbaden, Landeshauptstadt",null,6
27,56.25,21,43.75,48,0,0,0,0,06431,Bergstraße,null,5
23,79.31,6,20.69,29,0,0,0,0,06432,Darmstadt-Dieburg,null,2
14,73.68,5,26.32,19,1,0,5.26,0,06433,Groß-Gerau,null,2
22,75.86,7,24.14,29,0,0,0,0,06434,Hochtaunuskreis,null,3
61,70.11,26,29.89,87,0,0,0,0,06435,Main-Kinzig-Kreis,null,7
27,93.1,2,6.9,29,1,1,3.45,100,06436,Main-Taunus-Kreis,null,2
104,82.54,22,17.46,126,0,0,0,0,06437,Odenwaldkreis,null,2
19,59.38,13,40.63,32,2,2,6.25,100,06438,Offenbach,null,2
9,50,9,50,18,0,0,0,0,06439,Rheingau-Taunus-Kreis,null,2
76,83.52,15,16.48,91,1,1,1.1,100,06440,Wetteraukreis,null,5
192,78.05,54,21.95,246,3,2,1.22,66.67,06531,Gießen,null,6
43,70.49,18,29.51,61,0,0,0,0,06532,Lahn-Dill-Kreis,null,2
39,66.1,20,33.9,59,0,0,0,0,06533,Limburg-Weilburg,null,4
129,79.14,34,20.86,163,1,0,0.61,0,06534,Marburg-Biedenkopf,null,3
18,48.65,19,51.35,37,0,0,0,0,06535,Vogelsbergkreis,null,4
155,73.46,56,26.54,211,1,1,0.47,100,06611,"Kassel, documenta-Stadt",null,6
80,85.11,14,14.89,94,0,0,0,0,06631,Fulda,null,5
50,65.79,26,34.21,76,0,0,0,0,06632,Hersfeld-Rotenburg,null,3
25,73.53,9,26.47,34,0,0,0,0,06633,Kassel,null,4
21,48.84,22,51.16,43,0,0,0,0,06634,Schwalm-Eder-Kreis,null,3
63,58.33,45,41.67,108,1,0,0.93,0,06635,Waldeck-Frankenberg,null,7
25,56.82,19,43.18,44,0,0,0,0,06636,Werra-Meißner-Kreis,null,3
85,60.28,56,39.72,141,2,0,1.42,0,07111,"Koblenz, kreisfreie Stadt",null,6
16,84.21,3,15.79,19,1,0,5.26,0,07131,Ahrweiler,null,2
12,70.59,5,29.41,17,0,0,0,0,07132,Altenkirchen (Westerwald),null,2
36,67.92,17,32.08,53,1,0,1.89,0,07133,Bad Kreuznach,null,6
14,60.87,9,39.13,23,0,0,0,0,07134,Birkenfeld,null,2
5,38.46,8,61.54,13,0,0,0,0,07135,Cochem-Zell,null,2
