BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
35,81.4,8,18.6,43,6,5,13.95,83.33,04012,"Bremerhaven, Stadt",,3
44,91.67,4,8.33,48,3,3,6.25,100.0,08125,Heilbronn,,2
29,90.63,3,9.38,32,5,2,15.63,40.0,01056,Pinneberg,,2
62,83.78,12,16.22,74,11,4,14.86,36.36,05382,Rhein-Sieg-Kreis,,5
62,93.94,4,6.06,66,6,2,9.09,33.33,05316,"Leverkusen, Stadt",,3
56,90.32,6,9.68,62,27,11,43.55,40.74,12068,Ostprignitz-Ruppin,,3
10,62.5,6,37.5,16,2,2,12.5,100.0,07233,Vulkaneifel,,2
23,76.67,7,23.33,30,6,5,20.0,83.33,07141,Rhein-Lahn-Kreis,,5
68,83.95,13,16.05,81,12,11,14.81,91.67,08416,Tübingen,,3
216,82.44,46,17.56,262,61,26,23.28,42.62,06412,"Frankfurt am Main, Stadt",,14
11,64.71,6,35.29,17,3,2,17.65,66.67,08336,Lörrach,,1
144,90.0,16,10.0,160,28,20,17.5,71.43,08311,"Freiburg im Breisgau, Stadtkreis",,4
100,90.09,11,9.91,111,26,14,23.42,53.85,16053,"Jena, Stadt",,1
14,100.0,0,0.0,14,1,0,7.14,0.0,16064,Unstrut-Hainich-Kreis,,3
20,68.97,9,31.03,29,2,2,6.9,100.0,03102,"Salzgitter, Stadt",,2
78,82.98,16,17.02,94,10,3,10.64,30.0,13003,Rostock,,2
59,71.95,23,28.05,82,12,8,14.63,66.67,05122,"Solingen, Klingenstadt",,3
26,81.25,6,18.75,32,8,2,25.0,25.0,06636,Werra-Meißner-Kreis,,3
13,65.0,7,35.0,20,2,0,10.0,0.0,12071,Spree-Neiße,,3
55,90.16,6,9.84,61,4,2,6.56,50.0,08435,Bodenseekreis,,3
