BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
20,46.51,23,53.49,43,0,0,0.0,0.0,04012,"Bremerhaven, Stadt",,3
62,83.78,12,16.22,74,1,1,1.35,100.0,05382,Rhein-Sieg-Kreis,,5
31,86.11,5,13.89,36,0,0,0.0,0.0,01056,Pinneberg,,2
40,75.47,13,24.53,53,0,0,0.0,0.0,05316,"Leverkusen, Stadt",,3
42,85.71,7,14.29,49,0,0,0.0,0.0,12068,Ostprignitz-Ruppin,,3
14,87.5,2,12.5,16,0,0,0.0,0.0,07233,Vulkaneifel,,2
23,82.14,5,17.86,28,2,1,7.14,50.0,07141,Rhein-Lahn-Kreis,,5
66,92.96,5,7.04,71,1,1,1.41,100.0,08416,Tübingen,,3
222,84.09,42,15.91,264,9,2,3.41,22.22,06412,"Frankfurt am Main, Stadt",,14
11,100.0,0,0.0,11,1,0,9.09,0.0,08336,Lörrach,,1
155,84.24,29,15.76,184,5,2,2.72,40.0,08311,"Freiburg im Breisgau, Stadtkreis",,4
86,97.73,2,2.27,88,2,2,2.27,100.0,16053,"Jena, Stadt",,1
14,93.33,1,6.67,15,0,0,0.0,0.0,16064,Unstrut-Hainich-Kreis,,3
19,65.52,10,34.48,29,0,0,0.0,0.0,03102,"Salzgitter, Stadt",,2
80,87.91,11,12.09,91,0,0,0.0,0.0,13003,Rostock,,2
66,89.19,8,10.81,74,5,4,6.76,80.0,05122,"Solingen, Klingenstadt",,3
25,78.13,7,21.88,32,0,0,0.0,0.0,06636,Werra-Meißner-Kreis,,3
14,70.0,6,30.0,20,0,0,0.0,0.0,12071,Spree-Neiße,,3
48,82.76,10,17.24,58,0,0,0.0,0.0,08435,Bodenseekreis,,3
9,56.25,7,43.75,16,0,0,0.0,0.0,06439,Rheingau-Taunus-Kreis,,2
11,78.57,3,21.43,14,0,0,0.0,0.0,08315,Breisgau-Hochschwarzwald,,2
889,83.87,171,16.13,1060,35,19,3.3,54.29,11000,"Berlin, Stadt",,53
141,83.93,27,16.07,168,2,1,1.19,50.0,05911,"Bochum, Stadt",,6
12,70.59,5,29.41,17,0,0,0.0,0.0,15086,Jerichower Land,,1
8,61.54,5,38.46,13,0,0,0.0,0.0,09777,Ostallgäu,,3
12,66.67,6,33.33,18,0,0,0.0,0.0,07332,Bad Dürkheim,,2
19,100.0,0,0.0,19,0,0,0.0,0.0,09177,Erding,,1
22,66.67,11,33.33,33,0,0,0.0,0.0,06633,"Kassel, Landkreis",,4
53,82.81,11,17.19,64,2,0,3.13,0.0,03454,Emsland,,6
11,78.57,3,21.43,14,0,0,0.0,0.0,09185,Neuburg-Schrobenhausen,,2
21,87.5,3,12.5,24,0,0,0.0,0.0,01059,Schleswig-Flensburg,,1
14,87.5,2,12.5,16,0,0,0.0,0.0,08425,Alb-Donau-Kreis,,2
14,100.0,0,0.0,14,1,0,7.14,0.0,09762,Kaufbeuren,,1
42,91.3,4,8.7,46,2,1,4.35,50.0,12069,Potsdam-Mittelmark,,2
4,44.44,5,55.56,9,0,0,0.0,0.0,09679,"Würzburg, Landkreis",,1
12,50.0,12,50.0,24,0,0,0.0,0.0,03256,Nienburg (Weser),,1
25,96.15,1,3.85,26,1,0,3.85,0.0,09174,Dachau,,1
36,83.72,7,16.28,43,3,2,6.98,66.67,06431,Bergstraße,,5
37,63.79,21,36.21,58,0,0,0.0,0.0,07138,Neuwied,,6
75,80.65,18,19.35,93,1,1,1.08,100.0,07111,"Koblenz, kreisfreie Stadt",,4
9,100.0,0,0.0,9,0,0,0.0,0.0,03458,Oldenburg,,1
6,60.0,4,40.0,10,0,0,0.0,0.0,09371,Amberg-Sulzbach,,1
31,100.0,0,0.0,31,0,0,0.0,0.0,09163,"Rosenheim, Stadt",,1
24,77.42,7,22.58,31,0,0,0.0,0.0,05762,Höxter,,5
11,84.62,2,15.38,13,0,0,0.0,0.0,07337,Südliche Weinstraße,,2
42,65.63,22,34.38,64,1,0,1.56,0.0,03254,Hildesheim,,5
9,64.29,5,35.71,14,0,0,0.0,0.0,09778,Unterallgäu,,2
132,91.03,13,8.97,145,0,0,0.0,0.0,06534,Marburg-Biedenkopf,,3
7,43.75,9,56.25,16,0,0,0.0,0.0,07235,Trier-Saarburg,,2
32,94.12,2,5.88,34,0,0,0.0,0.0,09563,"Fürth, Stadt",,1
15,65.22,8,34.78,23,1,0,4.35,0.0,07334,Germersheim,,2
74,74.75,25,25.25,99,0,0,0.0,0.0,14524,Zwickau,,5
152,96.2,6,3.8,158,1,1,0.63,100.0,14511,"Chemnitz, Stadt",,3
8,50.0,8,50.0,16,0,0,0.0,0.0,07140,Rhein-Hunsrück-Kreis,,2
88,97.78,2,2.22,90,6,0,6.67,0.0,08316,Emmendingen,,3
6,50.0,6,50.0,12,1,1,8.33,100.0,07333,Donnersbergkreis,,2
70,84.34,13,15.66,83,0,0,0.0,0.0,06635,Waldeck-Frankenberg,,6
122,93.85,8,6.15,130,7,3,5.38,42.86,03159,Göttingen,,7
34,77.27,10,22.73,44,0,0,0.0,0.0,08127,Schwäbisch Hall,,2
4,100.0,0,0.0,4,0,0,0.0,0.0,09565,Schwabach,,1
64,87.67,9,12.33,73,0,0,0.0,0.0,05974,Soest,,7
12,100.0,0,0.0,12,1,1,8.33,100.0,08211,"Baden-Baden, Stadtkreis",,1
61,81.33,14,18.67,75,0,0,0.0,0.0,08335,Konstanz,,6
15,83.33,3,16.67,18,0,0,0.0,0.0,15081,Altmarkkreis Salzwedel,,2
42,82.35,9,17.65,51,0,0,0.0,0.0,08125,"Heilbronn, Landkreis",,2
86,86.87,13,13.13,99,1,0,1.01,0.0,07314,"Ludwigshafen am Rhein, kreisfreie Stadt",,4
34,97.14,1,2.86,35,1,0,2.86,0.0,01001,"Flensburg, Stadt",,2
21,67.74,10,32.26,31,1,0,3.23,0.0,07143,Westerwaldkreis,,4
128,90.14,14,9.86,142,1,0,0.7,0.0,04011,"Bremen, Stadt",,8
173,93.51,12,6.49,185,2,2,1.08,100.0,10045,Saarpfalz-Kreis,,2
26,81.25,6,18.75,32,0,0,0.0,0.0,07133,Bad Kreuznach,,4
5,83.33,1,16.67,6,0,0,0.0,0.0,16065,Kyffhäuserkreis,,1
7,53.85,6,46.15,13,0,0,0.0,0.0,15083,Börde,,2
120,89.55,14,10.45,134,1,0,0.75,0.0,09663,"Würzburg, Stadt",,4
23,92.0,2,8.0,25,0,0,0.0,0.0,15084,Burgenlandkreis,,3
22,91.67,2,8.33,24,0,0,0.0,0.0,09571,"Ansbach, Landkreis",,3
6,75.0,2,25.0,8,0,0,0.0,0.0,16074,Saale-Holzland-Kreis,,1
18,72.0,7,28.0,25,0,0,0.0,0.0,10043,Neunkirchen,,3
18,100.0,0,0.0,18,1,0,5.56,0.0,09175,Ebersberg,,1
11,91.67,1,8.33,12,0,0,0.0,0.0,16055,"Weimar, Stadt",,1
67,84.81,12,15.19,79,0,0,0.0,0.0,08317,Ortenaukreis,,6
36,85.71,6,14.29,42,0,0,0.0,0.0,05378,Rheinisch-Bergischer Kreis,,4
5,71.43,2,28.57,7,0,0,0.0,0.0,07131,Ahrweiler,,1
57,67.06,28,32.94,85,1,1,1.18,100.0,01060,Segeberg,,3
12,75.0,4,25.0,16,0,0,0.0,0.0,03158,Wolfenbüttel,,1
15,71.43,6,28.57,21,0,0,0.0,0.0,03405,"Wilhelmshaven, Stadt",,1
7,87.5,1,12.5,8,1,0,12.5,0.0,16069,Hildburghausen,,1
20,90.91,2,9.09,22,0,0,0.0,0.0,09779,Donau-Ries,,3
117,84.17,22,15.83,139,1,1,0.72,100.0,09673,Rhön-Grabfeld,,1
7,70.0,3,30.0,10,0,0,0.0,0.0,16076,Greiz,,1
83,73.45,30,26.55,113,1,0,0.88,0.0,08421,"Ulm, Stadtkreis",,3
155,87.08,23,12.92,178,0,0,0.0,0.0,15003,"Magdeburg, Landeshauptstadt",,6
6,85.71,1,14.29,7,0,0,0.0,0.0,08126,Hohenlohekreis,,1
