BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
36,83.72,7,16.28,43,7,5,16.28,71.43,04012,"Bremerhaven, Stadt",,3
32,88.89,4,11.11,36,2,0,5.56,0.0,01056,Pinneberg,,2
57,80.28,14,19.72,71,13,10,18.31,76.92,05382,Rhein-Sieg-Kreis,,5
63,95.45,3,4.55,66,4,3,6.06,75.0,05316,"Leverkusen, Stadt",,3
46,80.7,11,19.3,57,5,3,8.77,60.0,12068,Ostprignitz-Ruppin,,3
11,68.75,5,31.25,16,3,2,18.75,66.67,07233,Vulkaneifel,,2
23,76.67,7,23.33,30,8,5,26.67,62.5,07141,Rhein-Lahn-Kreis,,5
72,87.8,10,12.2,82,5,5,6.1,100.0,08416,Tübingen,,3
217,81.89,48,18.11,265,43,17,16.23,39.53,06412,"Frankfurt am Main, Stadt",,14
8,47.06,9,52.94,17,2,1,11.76,50.0,08336,Lörrach,,1
147,88.55,19,11.45,166,15,10,9.04,66.67,08311,"Freiburg im Breisgau, Stadtkreis",,4
95,90.48,10,9.52,105,15,8,14.29,53.33,16053,"Jena, Stadt",,1
15,100.0,0,0.0,15,0,0,0.0,0.0,16064,Unstrut-Hainich-Kreis,,3
14,48.28,15,51.72,29,3,1,10.34,33.33,03102,"Salzgitter, Stadt",,2
79,85.87,13,14.13,92,3,2,3.26,66.67,13003,Rostock,,2
68,82.93,14,17.07,82,12,4,14.63,33.33,05122,"Solingen, Klingenstadt",,3
19,59.38,13,40.63,32,1,0,3.13,0.0,06636,Werra-Meißner-Kreis,,3
9,45.0,11,55.0,20,3,0,15.0,0.0,12071,Spree-Neiße,,3
49,80.33,12,19.67,61,3,1,4.92,33.33,08435,Bodenseekreis,,3
11,68.75,5,31.25,16,3,2,18.75,66.67,06439,Rheingau-Taunus-Kreis,,2
44,83.02,9,16.98,53,2,0,3.77,0.0,08315,Breisgau-Hochschwarzwald,,4
996,87.29,145,12.71,1141,203,151,17.79,74.38,11000,"Berlin, Stadt",,53
149,87.13,22,12.87,171,18,9,10.53,50.0,05911,"Bochum, Stadt",,6
22,91.67,2,8.33,24,3,1,12.5,33.33,15086,Jerichower Land,,2
13,72.22,5,27.78,18,0,0,0.0,0.0,09777,Ostallgäu,,3
11,57.89,8,42.11,19,1,1,5.26,100.0,07332,Bad Dürkheim,,2
17,89.47,2,10.53,19,3,2,15.79,66.67,09177,Erding,,1
24,70.59,10,29.41,34,0,0,0.0,0.0,06633,"Kassel, Landkreis",,4
53,80.3,13,19.7,66,7,4,10.61,57.14,03454,Emsland,,6
11,78.57,3,21.43,14,1,0,7.14,0.0,09185,Neuburg-Schrobenhausen,,2
22,91.67,2,8.33,24,5,4,20.83,80.0,01059,Schleswig-Flensburg,,1
13,86.67,2,13.33,15,3,2,20.0,66.67,08425,Alb-Donau-Kreis,,2
11,68.75,5,31.25,16,2,2,12.5,100.0,09762,Kaufbeuren,,1
62,92.54,5,7.46,67,7,7,10.45,100.0,12069,Potsdam-Mittelmark,,3
7,87.5,1,12.5,8,2,1,25.0,50.0,09679,"Würzburg, Landkreis",,1
24,92.31,2,7.69,26,0,0,0.0,0.0,09174,Dachau,,1
20,83.33,4,16.67,24,1,0,4.17,0.0,03256,Nienburg (Weser),,1
32,76.19,10,23.81,42,5,3,11.9,60.0,06431,Bergstraße,,5
40,74.07,14,25.93,54,6,5,11.11,83.33,07138,Neuwied,,6
69,73.4,25,26.6,94,10,5,10.64,50.0,07111,"Koblenz, kreisfreie Stadt",,4
8,88.89,1,11.11,9,0,0,0.0,0.0,03458,Oldenburg,,1
8,80.0,2,20.0,10,2,1,20.0,50.0,09371,Amberg-Sulzbach,,1
