Datum	7-Tage-Inzidenz Chemnitz
13.07.2021	1,6
14.07.2021	1,6
15.07.2021	2,0
16.07.2021	0,8
17.07.2021	0,8
18.07.2021	0,8
19.07.2021	0,8
20.07.2021	0,8
21.07.2021	0,4
22.07.2021	0,8
23.07.2021	0,8
24.07.2021	1,2
25.07.2021	2,0
26.07.2021	2,0
