BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
35,63.64,20,36.36,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
116,50.66,113,49.34,229,2,0,0.87,0,01002,"Kiel, Landeshauptstadt",null,5
110,50.69,107,49.31,217,0,0,0,0,01003,"Lübeck, Hansestadt",null,2
19,76,6,24,25,0,0,0,0,01004,"Neumünster, Stadt",null,1
38,70.37,16,29.63,54,1,1,1.85,100,01051,Dithmarschen,null,1
12,66.67,6,33.33,18,0,0,0,0,01053,Herzogtum Lauenburg,null,2
20,51.28,19,48.72,39,0,0,0,0,01054,Nordfriesland,null,3
31,59.62,21,40.38,52,0,0,0,0,01055,Ostholstein,null,3
26,70.27,11,29.73,37,0,0,0,0,01056,Pinneberg,null,2
9,75,3,25,12,1,1,8.33,100,01057,Plön,null,1
35,64.81,19,35.19,54,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
13,54.17,11,45.83,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
75,62.5,45,37.5,120,0,0,0,0,01060,Segeberg,null,4
30,61.22,19,38.78,49,0,0,0,0,01061,Steinburg,null,3
28,50.91,27,49.09,55,0,0,0,0,01062,Stormarn,null,3
567,66.32,288,33.68,855,10,8,1.17,80,02000,"Hamburg, Freie und Hansestadt",null,33
90,60,60,40,150,0,0,0,0,03101,"Braunschweig, Stadt",null,7
14,48.28,15,51.72,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
26,76.47,8,23.53,34,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
29,80.56,7,19.44,36,0,0,0,0,03151,Gifhorn,null,2
47,57.32,35,42.68,82,0,0,0,0,03153,Goslar,null,3
