BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
239,81.57,54,18.43,293,1,1,0.34,100,05314,"Bonn, Stadt",null,18
405,85.08,71,14.92,476,11,7,2.31,63.64,05315,"Köln, Stadt",null,30
78,73.58,28,26.42,106,3,1,2.83,33.33,05316,"Leverkusen, Stadt",null,5
234,87.64,33,12.36,267,3,3,1.12,100,05334,Städteregion Aachen,null,12
53,70.67,22,29.33,75,1,1,1.33,100,05358,Düren,null,7
49,64.47,27,35.53,76,0,0,0,0,05362,Rhein-Erft-Kreis,null,7
24,75,8,25,32,0,0,0,0,05366,Euskirchen,null,3
21,58.33,15,41.67,36,0,0,0,0,05370,Heinsberg,null,3
77,65.81,40,34.19,117,0,0,0,0,05374,Oberbergischer Kreis,null,7
30,57.69,22,42.31,52,0,0,0,0,05378,Rheinisch-Bergischer Kreis,null,4
70,76.92,21,23.08,91,0,0,0,0,05382,Rhein-Sieg-Kreis,null,7
22,32.84,45,67.16,67,0,0,0,0,05512,"Bottrop, Stadt",null,2
77,53.85,66,46.15,143,1,0,0.7,0,05513,"Gelsenkirchen, Stadt",null,8
184,71.6,73,28.4,257,2,0,0.78,0,05515,"Münster, Stadt",null,9
36,46.15,42,53.85,78,0,0,0,0,05554,Borken,null,6
41,62.12,25,37.88,66,0,0,0,0,05558,Coesfeld,null,6
157,65.97,81,34.03,238,0,0,0,0,05562,Recklinghausen,null,15
74,68.52,34,31.48,108,1,1,0.93,100,05566,Steinfurt,null,7
32,43.84,41,56.16,73,1,1,1.37,100,05570,Warendorf,null,6
135,78.95,36,21.05,171,4,2,2.34,50,05711,"Bielefeld, Stadt",null,6
23,57.5,17,42.5,40,2,1,5,50,05754,Gütersloh,null,3
48,63.16,28,36.84,76,1,1,1.32,100,05758,Herford,null,5
24,50,24,50,48,0,0,0,0,05762,Höxter,null,5
57,74.03,20,25.97,77,0,0,0,0,05766,Lippe,null,2
208,77.9,59,22.1,267,0,0,0,0,05770,Minden-Lübbecke,null,8
87,62.14,53,37.86,140,2,2,1.43,100,05774,Paderborn,null,7
169,75.45,55,24.55,224,1,1,0.45,100,05911,"Bochum, Stadt",null,8
231,80.49,56,19.51,287,4,3,1.39,75,05913,"Dortmund, Stadt",null,9
54,66.67,27,33.33,81,1,1,1.23,100,05914,"Hagen, Stadt der FernUniversität",null,7
69,60.53,45,39.47,114,1,1,0.88,100,05915,"Hamm, Stadt",null,7
56,84.85,10,15.15,66,2,1,3.03,50,05916,"Herne, Stadt",null,4
104,78.79,28,21.21,132,0,0,0,0,05954,Ennepe-Ruhr-Kreis,null,7
93,78.15,26,21.85,119,2,0,1.68,0,05958,Hochsauerlandkreis,null,9
94,75.81,30,24.19,124,0,0,0,0,05962,Märkischer Kreis,null,10
