BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
38,69.09,17,30.91,55,0,0,0,0,01001,"Flensburg, Stadt",null,3
121,52.84,108,47.16,229,0,0,0,0,01002,"Kiel, Landeshauptstadt",null,5
117,53.92,100,46.08,217,1,0,0.46,0,01003,"Lübeck, Hansestadt",null,2
18,72,7,28,25,0,0,0,0,01004,"Neumünster, Stadt",null,1
46,85.19,8,14.81,54,0,0,0,0,01051,Dithmarschen,null,1
15,62.5,9,37.5,24,0,0,0,0,01053,Herzogtum Lauenburg,null,2
16,41.03,23,58.97,39,0,0,0,0,01054,Nordfriesland,null,3
36,69.23,16,30.77,52,0,0,0,0,01055,Ostholstein,null,3
27,67.5,13,32.5,40,1,1,2.5,100,01056,Pinneberg,null,2
5,41.67,7,58.33,12,0,0,0,0,01057,Plön,null,1
43,79.63,11,20.37,54,0,0,0,0,01058,Rendsburg-Eckernförde,null,5
14,58.33,10,41.67,24,0,0,0,0,01059,Schleswig-Flensburg,null,1
86,71.67,34,28.33,120,0,0,0,0,01060,Segeberg,null,4
28,57.14,21,42.86,49,0,0,0,0,01061,Steinburg,null,3
35,63.64,20,36.36,55,0,0,0,0,01062,Stormarn,null,3
594,67.89,281,32.11,875,8,5,0.91,62.5,02000,"Hamburg, Freie und Hansestadt",null,34
108,72,42,28,150,0,0,0,0,03101,"Braunschweig, Stadt",null,7
21,72.41,8,27.59,29,0,0,0,0,03102,"Salzgitter, Stadt",null,2
18,52.94,16,47.06,34,0,0,0,0,03103,"Wolfsburg, Stadt",null,1
29,80.56,7,19.44,36,0,0,0,0,03151,Gifhorn,null,2
47,57.32,35,42.68,82,0,0,0,0,03153,Goslar,null,3
18,52.94,16,47.06,34,0,0,0,0,03154,Helmstedt,null,1
12,52.17,11,47.83,23,0,0,0,0,03155,Northeim,null,2
9,40.91,13,59.09,22,0,0,0,0,03157,Peine,null,1
10,62.5,6,37.5,16,0,0,0,0,03158,Wolfenbüttel,null,1
145,72.5,55,27.5,200,1,0,0.5,0,03159,Göttingen,null,8
372,74.85,125,25.15,497,6,4,1.21,66.67,03241,Region Hannover,null,19
8,47.06,9,52.94,17,0,0,0,0,03251,Diepholz,null,3
56,74.67,19,25.33,75,1,0,1.33,0,03252,Hameln-Pyrmont,null,6
51,55.43,41,44.57,92,2,2,2.17,100,03254,Hildesheim,null,7
8,57.14,6,42.86,14,0,0,0,0,03255,Holzminden,null,1
14,53.85,12,46.15,26,0,0,0,0,03256,Nienburg (Weser),null,1
23,100,0,0,23,0,0,0,0,03257,Schaumburg,null,1
34,82.93,7,17.07,41,3,2,7.32,66.67,03351,Celle,null,3
4,15.38,22,84.62,26,0,0,0,0,03352,Cuxhaven,null,2
40,97.56,1,2.44,41,1,1,2.44,100,03353,Harburg,null,3
6,40,9,60,15,0,0,0,0,03354,Lüchow-Dannenberg,null,1
38,70.37,16,29.63,54,0,0,0,0,03355,Lüneburg,null,4
9,60,6,40,15,0,0,0,0,03356,Osterholz,null,3
27,71.05,11,28.95,38,0,0,0,0,03357,Rotenburg (Wümme),null,3
29,85.29,5,14.71,34,0,0,0,0,03358,Heidekreis,null,3
22,66.67,11,33.33,33,0,0,0,0,03359,Stade,null,3
63,76.83,19,23.17,82,0,0,0,0,03360,Uelzen,null,2
15,100,0,0,15,0,0,0,0,03361,Verden,null,2
10,45.45,12,54.55,22,0,0,0,0,03401,"Delmenhorst, Stadt",null,1
15,75,5,25,20,0,0,0,0,03402,"Emden, Stadt",null,1
98,65.77,51,34.23,149,0,0,0,0,03403,"Oldenburg (Oldenburg), Stadt",null,5
106,86.18,17,13.82,123,0,0,0,0,03404,"Osnabrück, Stadt",null,5
22,55,18,45,40,0,0,0,0,03405,"Wilhelmshaven, Stadt",null,2
29,87.88,4,12.12,33,0,0,0,0,03451,Ammerland,null,3
33,75,11,25,44,0,0,0,0,03452,Aurich,null,4
21,58.33,15,41.67,36,0,0,0,0,03453,Cloppenburg,null,3
85,71.43,34,28.57,119,0,0,0,0,03454,Emsland,null,11
31,83.78,6,16.22,37,0,0,0,0,03455,Friesland,null,2
27,90,3,10,30,0,0,0,0,03456,Grafschaft Bentheim,null,1
17,40.48,25,59.52,42,0,0,0,0,03457,Leer,null,4
7,70,3,30,10,0,0,0,0,03458,Oldenburg,null,1
78,62.4,47,37.6,125,1,0,0.8,0,03459,Osnabrück,null,7
22,53.66,19,46.34,41,0,0,0,0,03460,Vechta,null,5
12,70.59,5,29.41,17,0,0,0,0,03461,Wesermarsch,null,2
6,75,2,25,8,0,0,0,0,03462,Wittmund,null,1
138,78.41,38,21.59,176,1,0,0.57,0,04011,"Bremen, Stadt",null,10
49,71.01,20,28.99,69,1,1,1.45,100,04012,"Bremerhaven, Stadt",null,4
236,80,59,20,295,5,2,1.69,40,05111,"Düsseldorf, Stadt",null,13
168,65.12,90,34.88,258,3,1,1.16,33.33,05112,"Duisburg, Stadt",null,15
342,81.04,80,18.96,422,8,7,1.9,87.5,05113,"Essen, Stadt",null,17
79,79.8,20,20.2,99,0,0,0,0,05114,"Krefeld, Stadt",null,7
78,78.79,21,21.21,99,0,0,0,0,05116,"Mönchengladbach, Stadt",null,6
28,50.91,27,49.09,55,0,0,0,0,05117,"Mülheim an der Ruhr, Stadt",null,2
61,65.59,32,34.41,93,1,1,1.08,100,05119,"Oberhausen, Stadt",null,7
20,55.56,16,44.44,36,1,1,2.78,100,05120,"Remscheid, Stadt",null,1
66,76.74,20,23.26,86,2,1,2.33,50,05122,"Solingen, Klingenstadt",null,4
126,77.78,36,22.22,162,4,4,2.47,100,05124,"Wuppertal, Stadt",null,7
42,56,33,44,75,0,0,0,0,05154,Kleve,null,8
34,53.13,30,46.88,64,2,1,3.13,50,05158,Mettmann,null,6
76,65.52,40,34.48,116,1,1,0.86,100,05162,Rhein-Kreis Neuss,null,7
20,57.14,15,42.86,35,0,0,0,0,05166,Viersen,null,3
103,50.24,102,49.76,205,5,2,2.44,40,05170,Wesel,null,11
234,82.39,50,17.61,284,5,3,1.76,60,05314,"Bonn, Stadt",null,17
417,85.28,72,14.72,489,12,9,2.45,75,05315,"Köln, Stadt",null,31
82,77.36,24,22.64,106,2,0,1.89,0,05316,"Leverkusen, Stadt",null,5
272,91.58,25,8.42,297,3,3,1.01,100,05334,Städteregion Aachen,null,13
45,56.96,34,43.04,79,1,1,1.27,100,05358,Düren,null,7
46,58.97,32,41.03,78,2,1,2.56,50,05362,Rhein-Erft-Kreis,null,7
22,68.75,10,31.25,32,1,0,3.13,0,05366,Euskirchen,null,3
28,77.78,8,22.22,36,2,0,5.56,0,05370,Heinsberg,null,3
