BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
88,42.51,119,57.49,207,1,0,0.48,0,05170,Wesel,null,11
238,82.64,50,17.36,288,4,4,1.39,100,05314,"Bonn, Stadt",null,18
405,82.15,88,17.85,493,22,14,4.46,63.64,05315,"Köln, Stadt",null,31
78,75,26,25,104,0,0,0,0,05316,"Leverkusen, Stadt",null,5
256,88.28,34,11.72,290,3,3,1.03,100,05334,Städteregion Aachen,null,13
38,48.1,41,51.9,79,1,0,1.27,0,05358,Düren,null,7
45,60.81,29,39.19,74,1,1,1.35,100,05362,Rhein-Erft-Kreis,null,7
19,63.33,11,36.67,30,1,1,3.33,100,05366,Euskirchen,null,3
27,75,9,25,36,2,2,5.56,100,05370,Heinsberg,null,3
73,62.39,44,37.61,117,0,0,0,0,05374,Oberbergischer Kreis,null,7
38,73.08,14,26.92,52,0,0,0,0,05378,Rheinisch-Bergischer Kreis,null,4
72,83.72,14,16.28,86,0,0,0,0,05382,Rhein-Sieg-Kreis,null,7
34,50.75,33,49.25,67,0,0,0,0,05512,"Bottrop, Stadt",null,2
83,66.4,42,33.6,125,2,1,1.6,50,05513,"Gelsenkirchen, Stadt",null,8
231,87.17,34,12.83,265,3,1,1.13,33.33,05515,"Münster, Stadt",null,9
44,56.41,34,43.59,78,0,0,0,0,05554,Borken,null,6
28,70,12,30,40,0,0,0,0,05558,Coesfeld,null,5
160,64.52,88,35.48,248,0,0,0,0,05562,Recklinghausen,null,15
72,66.67,36,33.33,108,0,0,0,0,05566,Steinfurt,null,7
38,52.05,35,47.95,73,1,1,1.37,100,05570,Warendorf,null,6
121,73.78,43,26.22,164,2,1,1.22,50,05711,"Bielefeld, Stadt",null,6
25,54.35,21,45.65,46,1,0,2.17,0,05754,Gütersloh,null,3
49,64.47,27,35.53,76,1,1,1.32,100,05758,Herford,null,5
26,45.61,31,54.39,57,0,0,0,0,05762,Höxter,null,6
60,77.92,17,22.08,77,1,0,1.3,0,05766,Lippe,null,2
191,69.71,83,30.29,274,4,2,1.46,50,05770,Minden-Lübbecke,null,8
90,64.75,49,35.25,139,2,2,1.44,100,05774,Paderborn,null,7
158,70.54,66,29.46,224,3,3,1.34,100,05911,"Bochum, Stadt",null,8
246,79.35,64,20.65,310,3,1,0.97,33.33,05913,"Dortmund, Stadt",null,9
58,68.24,27,31.76,85,3,2,3.53,66.67,05914,"Hagen, Stadt der FernUniversität",null,7
67,58.77,47,41.23,114,1,1,0.88,100,05915,"Hamm, Stadt",null,7
47,71.21,19,28.79,66,2,1,3.03,50,05916,"Herne, Stadt",null,4
92,68.66,42,31.34,134,2,1,1.49,50,05954,Ennepe-Ruhr-Kreis,null,7
84,63.16,49,36.84,133,0,0,0,0,05958,Hochsauerlandkreis,null,10
82,66.67,41,33.33,123,1,0,0.81,0,05962,Märkischer Kreis,null,10
14,37.84,23,62.16,37,2,1,5.41,50,05966,Olpe,null,3
94,65.73,49,34.27,143,2,1,1.4,50,05970,Siegen-Wittgenstein,null,8
62,68.13,29,31.87,91,0,0,0,0,05974,Soest,null,9
83,70.94,34,29.06,117,1,0,0.85,0,05978,Unna,null,8
76,68.47,35,31.53,111,2,2,1.8,100,06411,"Darmstadt, Wissenschaftsstadt",null,7
254,81.94,56,18.06,310,9,5,2.9,55.56,06412,"Frankfurt am Main, Stadt",null,17
88,85.44,15,14.56,103,1,0,0.97,0,06413,"Offenbach am Main, Stadt",null,4
66,63.46,38,36.54,104,4,3,3.85,75,06414,"Wiesbaden, Landeshauptstadt",null,6
31,64.58,17,35.42,48,0,0,0,0,06431,Bergstraße,null,5
26,89.66,3,10.34,29,0,0,0,0,06432,Darmstadt-Dieburg,null,2
15,83.33,3,16.67,18,2,0,11.11,0,06433,Groß-Gerau,null,2
22,75.86,7,24.14,29,0,0,0,0,06434,Hochtaunuskreis,null,3
67,77.01,20,22.99,87,1,0,1.15,0,06435,Main-Kinzig-Kreis,null,7
25,92.59,2,7.41,27,1,1,3.7,100,06436,Main-Taunus-Kreis,null,2
106,84.13,20,15.87,126,0,0,0,0,06437,Odenwaldkreis,null,2
19,59.38,13,40.63,32,2,2,6.25,100,06438,Offenbach,null,2
11,61.11,7,38.89,18,0,0,0,0,06439,Rheingau-Taunus-Kreis,null,2
75,85.23,13,14.77,88,2,1,2.27,50,06440,Wetteraukreis,null,5
186,75.61,60,24.39,246,3,1,1.22,33.33,06531,Gießen,null,6
33,54.1,28,45.9,61,0,0,0,0,06532,Lahn-Dill-Kreis,null,2
37,62.71,22,37.29,59,0,0,0,0,06533,Limburg-Weilburg,null,4
120,74.07,42,25.93,162,1,0,0.62,0,06534,Marburg-Biedenkopf,null,3
20,54.05,17,45.95,37,0,0,0,0,06535,Vogelsbergkreis,null,4
156,73.93,55,26.07,211,1,1,0.47,100,06611,"Kassel, documenta-Stadt",null,6
75,79.79,19,20.21,94,0,0,0,0,06631,Fulda,null,5
