BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
269,92.44,22,7.56,291,5,4,1.72,80,05334,Städteregion Aachen,null,13
39,49.37,40,50.63,79,1,1,1.27,100,05358,Düren,null,7
45,60.81,29,39.19,74,0,0,0,0,05362,Rhein-Erft-Kreis,null,7
18,60,12,40,30,1,1,3.33,100,05366,Euskirchen,null,3
30,83.33,6,16.67,36,3,2,8.33,66.67,05370,Heinsberg,null,3
77,65.81,40,34.19,117,2,0,1.71,0,05374,Oberbergischer Kreis,null,7
38,73.08,14,26.92,52,3,2,5.77,66.67,05378,Rheinisch-Bergischer Kreis,null,4
64,71.11,26,28.89,90,3,2,3.33,66.67,05382,Rhein-Sieg-Kreis,null,7
35,52.24,32,47.76,67,0,0,0,0,05512,"Bottrop, Stadt",null,2
91,72.8,34,27.2,125,3,2,2.4,66.67,05513,"Gelsenkirchen, Stadt",null,8
238,89.81,27,10.19,265,4,1,1.51,25,05515,"Münster, Stadt",null,9
52,63.41,30,36.59,82,3,1,3.66,33.33,05554,Borken,null,6
28,65.12,15,34.88,43,0,0,0,0,05558,Coesfeld,null,5
168,68.29,78,31.71,246,1,0,0.41,0,05562,Recklinghausen,null,15
75,69.44,33,30.56,108,0,0,0,0,05566,Steinfurt,null,7
34,47.89,37,52.11,71,1,1,1.41,100,05570,Warendorf,null,6
88,62.86,52,37.14,140,1,0,0.71,0,05711,"Bielefeld, Stadt",null,4
28,68.29,13,31.71,41,0,0,0,0,05754,Gütersloh,null,3
52,68.42,24,31.58,76,1,1,1.32,100,05758,Herford,null,5
26,45.61,31,54.39,57,0,0,0,0,05762,Höxter,null,6
58,75.32,19,24.68,77,0,0,0,0,05766,Lippe,null,2
204,73.91,72,26.09,276,2,2,0.72,100,05770,Minden-Lübbecke,null,8
89,64.03,50,35.97,139,4,3,2.88,75,05774,Paderborn,null,7
158,70.54,66,29.46,224,2,2,0.89,100,05911,"Bochum, Stadt",null,8
263,84.84,47,15.16,310,0,0,0,0,05913,"Dortmund, Stadt",null,9
52,66.67,26,33.33,78,3,2,3.85,66.67,05914,"Hagen, Stadt der FernUniversität",null,7
60,52.63,54,47.37,114,1,0,0.88,0,05915,"Hamm, Stadt",null,7
52,78.79,14,21.21,66,4,4,6.06,100,05916,"Herne, Stadt",null,4
98,73.13,36,26.87,134,2,1,1.49,50,05954,Ennepe-Ruhr-Kreis,null,7
94,80.34,23,19.66,117,2,1,1.71,50,05958,Hochsauerlandkreis,null,9
86,69.92,37,30.08,123,0,0,0,0,05962,Märkischer Kreis,null,10
3,33.33,6,66.67,9,0,0,0,0,05966,Olpe,null,1
109,77.86,31,22.14,140,1,1,0.71,100,05970,Siegen-Wittgenstein,null,8
62,64.58,34,35.42,96,1,0,1.04,0,05974,Soest,null,9
90,76.92,27,23.08,117,2,1,1.71,50,05978,Unna,null,8
84,80,21,20,105,5,3,4.76,60,06411,"Darmstadt, Wissenschaftsstadt",null,7
246,82.55,52,17.45,298,15,6,5.03,40,06412,"Frankfurt am Main, Stadt",null,17
88,85.44,15,14.56,103,1,1,0.97,100,06413,"Offenbach am Main, Stadt",null,4
74,74.75,25,25.25,99,5,3,5.05,60,06414,"Wiesbaden, Landeshauptstadt",null,6
31,65.96,16,34.04,47,0,0,0,0,06431,Bergstraße,null,5
24,82.76,5,17.24,29,0,0,0,0,06432,Darmstadt-Dieburg,null,2
16,84.21,3,15.79,19,1,0,5.26,0,06433,Groß-Gerau,null,2
22,75.86,7,24.14,29,0,0,0,0,06434,Hochtaunuskreis,null,3
66,75.86,21,24.14,87,2,0,2.3,0,06435,Main-Kinzig-Kreis,null,7
19,100,0,0,19,0,0,0,0,06436,Main-Taunus-Kreis,null,1
113,89.68,13,10.32,126,0,0,0,0,06437,Odenwaldkreis,null,2
29,90.63,3,9.38,32,4,2,12.5,50,06438,Offenbach,null,2
13,72.22,5,27.78,18,0,0,0,0,06439,Rheingau-Taunus-Kreis,null,2
72,80.9,17,19.1,89,2,1,2.25,50,06440,Wetteraukreis,null,5
201,81.38,46,18.62,247,4,3,1.62,75,06531,Gießen,null,6
39,63.93,22,36.07,61,0,0,0,0,06532,Lahn-Dill-Kreis,null,2
39,66.1,20,33.9,59,1,1,1.69,100,06533,Limburg-Weilburg,null,4
136,83.95,26,16.05,162,1,0,0.62,0,06534,Marburg-Biedenkopf,null,3
17,45.95,20,54.05,37,1,1,2.7,100,06535,Vogelsbergkreis,null,4
162,76.78,49,23.22,211,1,1,0.47,100,06611,"Kassel, documenta-Stadt",null,6
84,89.36,10,10.64,94,0,0,0,0,06631,Fulda,null,5
47,61.84,29,38.16,76,0,0,0,0,06632,Hersfeld-Rotenburg,null,3
23,71.88,9,28.13,32,0,0,0,0,06633,Kassel,null,4
21,47.73,23,52.27,44,0,0,0,0,06634,Schwalm-Eder-Kreis,null,3
65,60.19,43,39.81,108,0,0,0,0,06635,Waldeck-Frankenberg,null,7
23,63.89,13,36.11,36,0,0,0,0,06636,Werra-Meißner-Kreis,null,3
94,66.2,48,33.8,142,3,0,2.11,0,07111,"Koblenz, kreisfreie Stadt",null,6
15,78.95,4,21.05,19,0,0,0,0,07131,Ahrweiler,null,2
9,52.94,8,47.06,17,1,0,5.88,0,07132,Altenkirchen (Westerwald),null,2
34,61.82,21,38.18,55,0,0,0,0,07133,Bad Kreuznach,null,6
10,40,15,60,25,0,0,0,0,07134,Birkenfeld,null,2
10,76.92,3,23.08,13,0,0,0,0,07135,Cochem-Zell,null,2
23,50,23,50,46,0,0,0,0,07137,Mayen-Koblenz,null,4
64,72.73,24,27.27,88,3,1,3.41,33.33,07138,Neuwied,null,7
11,68.75,5,31.25,16,0,0,0,0,07140,Rhein-Hunsrück-Kreis,null,2
29,69.05,13,30.95,42,0,0,0,0,07141,Rhein-Lahn-Kreis,null,5
31,75.61,10,24.39,41,0,0,0,0,07143,Westerwaldkreis,null,4
84,66.14,43,33.86,127,1,0,0.79,0,07211,"Trier, kreisfreie Stadt",null,6
18,69.23,8,30.77,26,0,0,0,0,07231,Bernkastel-Wittlich,null,2
9,64.29,5,35.71,14,0,0,0,0,07232,Eifelkreis Bitburg-Prüm,null,2
