BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
235,83.33,47,16.67,282,5,3,1.77,60,05314,"Bonn, Stadt",null,17
399,85.99,65,14.01,464,12,9,2.59,75,05315,"Köln, Stadt",null,30
84,79.25,22,20.75,106,2,0,1.89,0,05316,"Leverkusen, Stadt",null,5
264,88.89,33,11.11,297,3,3,1.01,100,05334,Städteregion Aachen,null,13
45,56.96,34,43.04,79,0,0,0,0,05358,Düren,null,7
49,65.33,26,34.67,75,3,1,4,33.33,05362,Rhein-Erft-Kreis,null,7
19,59.38,13,40.63,32,0,0,0,0,05366,Euskirchen,null,3
26,72.22,10,27.78,36,2,0,5.56,0,05370,Heinsberg,null,3
82,70.09,35,29.91,117,0,0,0,0,05374,Oberbergischer Kreis,null,7
31,59.62,21,40.38,52,0,0,0,0,05378,Rheinisch-Bergischer Kreis,null,4
73,83.91,14,16.09,87,1,0,1.15,0,05382,Rhein-Sieg-Kreis,null,7
24,35.82,43,64.18,67,1,1,1.49,100,05512,"Bottrop, Stadt",null,2
81,64.8,44,35.2,125,1,1,0.8,100,05513,"Gelsenkirchen, Stadt",null,8
230,84.56,42,15.44,272,3,0,1.1,0,05515,"Münster, Stadt",null,9
45,72.58,17,27.42,62,0,0,0,0,05554,Borken,null,5
31,62,19,38,50,0,0,0,0,05558,Coesfeld,null,5
165,68.75,75,31.25,240,1,0,0.42,0,05562,Recklinghausen,null,15
62,57.41,46,42.59,108,2,1,1.85,50,05566,Steinfurt,null,7
34,47.22,38,52.78,72,0,0,0,0,05570,Warendorf,null,6
111,76.55,34,23.45,145,1,1,0.69,100,05711,"Bielefeld, Stadt",null,4
26,65,14,35,40,0,0,0,0,05754,Gütersloh,null,3
55,72.37,21,27.63,76,2,2,2.63,100,05758,Herford,null,5
34,70.83,14,29.17,48,2,0,4.17,0,05762,Höxter,null,5
54,70.13,23,29.87,77,0,0,0,0,05766,Lippe,null,2
198,74.16,69,25.84,267,0,0,0,0,05770,Minden-Lübbecke,null,8
89,64.03,50,35.97,139,1,1,0.72,100,05774,Paderborn,null,7
161,71.88,63,28.13,224,4,2,1.79,50,05911,"Bochum, Stadt",null,8
245,84.19,46,15.81,291,0,0,0,0,05913,"Dortmund, Stadt",null,9
54,68.35,25,31.65,79,2,2,2.53,100,05914,"Hagen, Stadt der FernUniversität",null,7
78,68.42,36,31.58,114,0,0,0,0,05915,"Hamm, Stadt",null,7
39,60,26,40,65,2,2,3.08,100,05916,"Herne, Stadt",null,4
99,75,33,25,132,2,0,1.52,0,05954,Ennepe-Ruhr-Kreis,null,7
81,67.5,39,32.5,120,0,0,0,0,05958,Hochsauerlandkreis,null,9
84,67.74,40,32.26,124,0,0,0,0,05962,Märkischer Kreis,null,10
22,57.89,16,42.11,38,2,1,5.26,50,05966,Olpe,null,3
97,67.83,46,32.17,143,0,0,0,0,05970,Siegen-Wittgenstein,null,8
79,82.29,17,17.71,96,0,0,0,0,05974,Soest,null,9
87,74.36,30,25.64,117,0,0,0,0,05978,Unna,null,8
87,79.09,23,20.91,110,1,0,0.91,0,06411,"Darmstadt, Wissenschaftsstadt",null,7
243,78.64,66,21.36,309,6,1,1.94,16.67,06412,"Frankfurt am Main, Stadt",null,17
83,79.81,21,20.19,104,0,0,0,0,06413,"Offenbach am Main, Stadt",null,4
75,72.82,28,27.18,103,2,2,1.94,100,06414,"Wiesbaden, Landeshauptstadt",null,6
28,58.33,20,41.67,48,0,0,0,0,06431,Bergstraße,null,5
20,68.97,9,31.03,29,0,0,0,0,06432,Darmstadt-Dieburg,null,2
15,68.18,7,31.82,22,1,0,4.55,0,06433,Groß-Gerau,null,2
23,79.31,6,20.69,29,0,0,0,0,06434,Hochtaunuskreis,null,3
65,73.86,23,26.14,88,1,0,1.14,0,06435,Main-Kinzig-Kreis,null,7
25,92.59,2,7.41,27,0,0,0,0,06436,Main-Taunus-Kreis,null,2
107,84.92,19,15.08,126,0,0,0,0,06437,Odenwaldkreis,null,2
20,62.5,12,37.5,32,1,1,3.13,100,06438,Offenbach,null,2
11,61.11,7,38.89,18,0,0,0,0,06439,Rheingau-Taunus-Kreis,null,2
66,71.74,26,28.26,92,0,0,0,0,06440,Wetteraukreis,null,5
209,82.94,43,17.06,252,3,1,1.19,33.33,06531,Gießen,null,6
45,73.77,16,26.23,61,0,0,0,0,06532,Lahn-Dill-Kreis,null,2
38,64.41,21,35.59,59,1,0,1.69,0,06533,Limburg-Weilburg,null,4
