date,faelleCovidAktuell,intensivBettenBelegt
"2020-12-04T12:15:00+01:00",418,1325
"2020-12-03T12:15:00+01:00",420,1326
"2020-12-02T12:15:00+01:00",410,1317
"2020-12-01T12:15:00+01:00",385,1281
"2020-11-30T12:15:00+01:00",378,1264
"2020-11-29T12:15:00+01:00",376,1246
"2020-11-28T12:15:00+01:00",360,1274
"2020-11-27T12:15:00+01:00",347,1258
"2020-11-26T12:15:00+01:00",342,1289
"2020-11-25T12:15:00+01:00",345,1276
"2020-11-24T12:15:00+01:00",326,1276
"2020-11-23T12:15:00+01:00",322,1241
"2020-11-22T12:15:00+01:00",308,1224
"2020-11-21T12:15:00+01:00",309,1239
"2020-11-20T12:15:00+01:00",304,1266
"2020-11-19T12:15:00+01:00",301,1242
"2020-11-18T12:15:00+01:00",302,1286
"2020-11-17T12:15:00+01:00",293,1293
"2020-11-16T12:15:00+01:00",272,1239
"2020-11-15T12:15:00+01:00",266,1197
"2020-11-14T12:15:00+01:00",272,1270
"2020-11-13T12:15:00+01:00",264,1290
"2020-11-12T12:15:00+01:00",260,1291
"2020-11-11T12:15:00+01:00",258,1276
"2020-11-10T12:15:00+01:00",268,1301
"2020-11-09T12:15:00+01:00",268,1244
"2020-11-08T12:15:00+01:00",261,1235
"2020-11-07T12:15:00+01:00",260,1267
"2020-11-06T12:15:00+01:00",247,1300
"2020-11-05T12:15:00+01:00",240,1328
"2020-11-04T12:15:00+01:00",232,1321
"2020-11-03T12:15:00+01:00",212,1293
"2020-11-02T12:15:00+01:00",202,1233
"2020-11-01T12:15:00+01:00",184,1248
"2020-10-31T12:15:00+01:00",174,1264
"2020-10-30T12:15:00+01:00",166,1277
"2020-10-29T12:15:00+01:00",158,1299
"2020-10-28T12:15:00+01:00",146,1274
"2020-10-27T12:15:00+01:00",151,1265
"2020-10-26T12:15:00+01:00",142,1214
"2020-10-25T12:15:00+01:00",120,1213
"2020-10-24T12:15:00+02:00",107,1232
"2020-10-23T12:15:00+02:00",101,1233
"2020-10-22T12:15:00+02:00",87,1220
"2020-10-21T12:15:00+02:00",84,1213
"2020-10-20T12:15:00+02:00",53,1185
"2020-10-19T12:15:00+02:00",53,1164
"2020-10-18T12:15:00+02:00",50,1156
"2020-10-17T12:15:00+02:00",48,1177
"2020-10-16T12:15:00+02:00",45,1243
"2020-10-15T12:15:00+02:00",40,1229
"2020-10-14T12:15:00+02:00",37,1206
"2020-10-13T12:15:00+02:00",35,1172
"2020-10-12T12:15:00+02:00",32,1141
"2020-10-11T12:15:00+02:00",30,1116
"2020-10-10T12:15:00+02:00",27,1173
"2020-10-09T12:15:00+02:00",22,1204
"2020-10-08T12:15:00+02:00",22,1210
"2020-10-07T12:15:00+02:00",21,1215
"2020-10-06T12:15:00+02:00",19,1178
"2020-10-05T12:15:00+02:00",15,1143
"2020-10-04T12:15:00+02:00",14,1130
"2020-10-03T12:15:00+02:00",12,1178
"2020-10-02T12:15:00+02:00",12,1198
"2020-10-01T12:15:00+02:00",12,1195
"2020-09-30T12:15:00+02:00",9,1193
"2020-09-29T12:15:00+02:00",10,1164
"2020-09-28T12:15:00+02:00",9,1131
"2020-09-27T12:15:00+02:00",7,1129
"2020-09-26T12:15:00+02:00",7,1185
"2020-09-25T12:15:00+02:00",8,1199
"2020-09-24T12:15:00+02:00",9,1215
"2020-09-23T12:15:00+02:00",8,1223
"2020-09-22T12:15:00+02:00",7,1233
"2020-09-21T12:15:00+02:00",6,1169
"2020-09-20T12:15:00+02:00",7,1195
"2020-09-19T12:15:00+02:00",7,1218
"2020-09-18T12:15:00+02:00",8,1265
"2020-09-17T12:15:00+02:00",7,1246
"2020-09-16T12:15:00+02:00",10,1250
"2020-09-15T12:15:00+02:00",8,1218
"2020-09-14T12:15:00+02:00",8,1178
"2020-09-13T12:15:00+02:00",6,1195
"2020-09-12T12:15:00+02:00",6,1250
"2020-09-11T12:15:00+02:00",6,1271
"2020-09-10T12:15:00+02:00",6,1277
"2020-09-09T12:15:00+02:00",8,1258
"2020-09-08T12:15:00+02:00",7,1245
"2020-09-07T12:15:00+02:00",6,1182
"2020-09-06T12:15:00+02:00",6,1182
"2020-09-05T12:15:00+02:00",6,1225
"2020-09-04T12:15:00+02:00",6,1352
"2020-09-03T12:15:00+02:00",6,1361
"2020-09-02T12:15:00+02:00",6,1353
"2020-09-01T12:15:00+02:00",5,1371
"2020-08-31T12:15:00+02:00",5,1310
"2020-08-30T12:15:00+02:00",6,1324
