GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,25.03.2021,26.03.2021,27.03.2021,28.03.2021,29.03.2021,30.03.2021,31.03.2021,01.04.2021,02.04.2021,03.04.2021,04.04.2021,05.04.2021,06.04.2021,07.04.2021,08.04.2021,09.04.2021,10.04.2021,11.04.2021,12.04.2021,13.04.2021,14.04.2021,15.04.2021,16.04.2021,17.04.2021,18.04.2021,19.04.2021,20.04.2021,21.04.2021,22.04.2021,23.04.2021,24.04.2021,25.04.2021,26.04.2021,27.04.2021,28.04.2021,29.04.2021,30.04.2021,01.05.2021,02.05.2021,03.05.2021,04.05.2021,05.05.2021,06.05.2021,07.05.2021,08.05.2021,09.05.2021,10.05.2021,11.05.2021,12.05.2021,13.05.2021,14.05.2021,15.05.2021,16.05.2021,17.05.2021,18.05.2021,19.05.2021,20.05.2021,21.05.2021,22.05.2021,23.05.2021,24.05.2021,25.05.2021,26.05.2021,27.05.2021,28.05.2021,29.05.2021,30.05.2021,31.05.2021,01.06.2021,02.06.2021,03.06.2021,04.06.2021,05.06.2021,06.06.2021,07.06.2021,08.06.2021,09.06.2021,10.06.2021,11.06.2021,12.06.2021,13.06.2021,14.06.2021,15.06.2021,16.06.2021,17.06.2021,current,current_time
Flensburg,1001,1020.0,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1860.0,1860.0,1860.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,2400.0,2400.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,3808.0,15168.0,15168.0,15168.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,21573.0,28822.0,28822.0,28822.0,28822.0,28822.0,28822.0,28822.0,28822.0,28822.0,32160.0,32160.0,32160.0,32160.0,32160.0,32160.0,32160.0,32160.0,32160.0,32160.0,32160.0,32160.0,32160.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613.0,39613,39613,16/06/2021 00:00
Kiel,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2021 00:00
Lübeck,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2021 00:00
Neumünster,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2021 00:00
Dithmarschen,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2021 00:00
Herzogtum Lauenburg,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2021 00:00
Nordfriesland,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2021 00:00
Ostholstein,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2021 00:00
Pinneberg,1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/06/2021 00:00
Plön,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2021 00:00
