GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,current,current_time
Bad Tölz-Wolfratshausen,9173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Dachau,9174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ebersberg,9175,,,,,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731,6731,28/02/2021 00:00
Eichstätt,9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Erding,9177,3043.0,,,,3277.0,3277.0,3277.0,4511.0,4511.0,4511.0,7134.0,7134.0,7134.0,7134.0,5780.0,5780.0,5780.0,5780.0,5780.0,5780.0,5780.0,5780.0,5780.0,7807.0,7807.0,7807.0,7807.0,7807.0,8579.0,8579.0,8579.0,9444.0,9648.0,9648.0,9648,9648,27/02/2021 00:00
Freising,9178,,,,,4724.0,4724.0,4724.0,5687.0,5817.0,5817.0,6382.0,6382.0,6382.0,6382.0,7074.0,7074.0,7074.0,7519.0,7519.0,7707.0,7707.0,7707.0,7707.0,8890.0,9172.0,9308.0,9308.0,9308.0,10064.0,10064.0,10064.0,11361.0,11694.0,11694.0,11694,11694,28/02/2021 00:00
Fürstenfeldbruck,9179,5568.0,,,,6644.0,6644.0,6644.0,6644.0,7581.0,7816.0,7816.0,7816.0,7816.0,7816.0,7816.0,7816.0,7816.0,9561.0,9561.0,9561.0,9561.0,9561.0,9561.0,11635.0,11635.0,11635.0,11635.0,11635.0,11635.0,14332.0,14332.0,14332.0,14332.0,14332.0,14332,14332,26/02/2021 00:00
Garmisch-Partenkirchen,9180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Landsberg am Lech,9181,,,,,2531.0,2531.0,2531.0,3062.0,3062.0,3062.0,3062.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4903.0,4903.0,4903.0,5737.0,5737.0,5737.0,5737.0,5737.0,5737.0,5737.0,6642.0,6642.0,6642.0,6642,6642,28/02/2021 00:00
Miesbach,9182,,,,,,,,,,,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977,5977,28/02/2021 00:00
Mühldorf a. Inn,9183,,,,,4055.0,4055.0,4055.0,4055.0,4055.0,4055.0,4055.0,5384.0,5384.0,5384.0,5384.0,5384.0,5384.0,5384.0,6257.0,6257.0,6257.0,6257.0,6257.0,6257.0,6257.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696.0,7696,7696,28/02/2021 00:00
München,9184,,,,,,,,,,,,,,,,,16707.0,16707.0,16707.0,16707.0,16707.0,16707.0,16707.0,20285.0,21087.0,21087.0,22354.0,23140.0,23140.0,24781.0,25727.0,26856.0,26856.0,26856.0,30057,30057,28/02/2021 00:00
Neuburg-Schrobenhausen,9185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Pfaffenhofen a.d. Ilm,9186,1756.0,,,,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756.0,1756,1756,28/02/2021 00:00
Rosenheim,9187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Starnberg,9188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Traunstein,9189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Weilheim-Schongau,9190,,,,,,,,,,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,3752.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526.0,6526,6526,28/02/2021 00:00
Landshut,9261,,,,,,,,,,,,,,,,,,,,,,,,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109.0,4109,4109,28/02/2021 00:00
Passau,9262,2730.0,,,,2730.0,2730.0,2730.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400,5400,28/02/2021 00:00
Straubing,9263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Deggendorf,9271,,,,,,,,,,,,,,,,,5732.0,5812.0,5812.0,5812.0,5812.0,5812.0,5812.0,5812.0,6745.0,6745.0,6745.0,6745.0,7805.0,7805.0,7805.0,8874.0,9129.0,9129.0,9129,9129,28/02/2021 00:00
Freyung-Grafenau,9272,,,,,,,,,,,,,,,,,,,,,,,,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949.0,4949,4949,28/02/2021 00:00
Kelheim,9273,,,,,,,,,,,,,,,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500,3500,28/02/2021 00:00
Landshut,9274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Passau,9275,3000.0,,,,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000,3000,28/02/2021 00:00
Regen,9276,2098.0,,,,2098.0,2098.0,2098.0,2604.0,2657.0,2831.0,2831.0,2831.0,3253.0,3433.0,3433.0,3433.0,3433.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,3571.0,4756.0,4756.0,4756.0,5244.0,5244.0,5244.0,5244,5244,28/02/2021 00:00
Rottal-Inn,9277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Straubing-Bogen,9278,,,,,,,,,,,,,,,,,,,,,,,,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600.0,9600,9600,28/02/2021 00:00
Dingolfing-Landau,9279,2550.0,,,,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800,3800,28/02/2021 00:00
Amberg,9361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Regensburg,9362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Weiden i.d. OPf.,9363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Amberg-Sulzbach,9371,,,,,,,,,,,,,,,,,,,,,,,,,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390.0,10390,10390,28/02/2021 00:00
Cham,9372,,,,,4925.0,4925.0,4925.0,4925.0,4925.0,4925.0,4925.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574.0,5574,5574,28/02/2021 00:00
Neumarkt i.d. OPf.,9373,3040.0,,,,3040.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,5400.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650,9650,28/02/2021 00:00
Neustadt a.d. Waldnaab,9374,,,,,,,,,,,,,,,,,,,,,,,,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109.0,8109,8109,28/02/2021 00:00
Regensburg,9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Schwandorf,9376,3240.0,,,,3240.0,3240.0,3240.0,3240.0,3240.0,5980.0,5980.0,5980.0,5980.0,5980.0,5980.0,5980.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530.0,7530,7530,28/02/2021 00:00
Tirschenreuth,9377,800.0,,,,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800,28/02/2021 00:00
Bamberg,9461,3194.0,,,,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,3194.0,,,,,,13386.0,13926.0,14418.0,14427.0,14427.0,14427.0,14427.0,16357.0,16357.0,16357.0,16357.0,16357,16357,26/02/2021 00:00
Bayreuth,9462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Coburg,9463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Hof,9464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Bamberg,9471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/02/2021 00:00
Bayreuth,9472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Coburg,9473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Forchheim,9474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Hof,9475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Kronach,9476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Kulmbach,9477,,,,,,,,,,,,,,,,,,,,,,,,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644,5644,28/02/2021 00:00
Lichtenfels,9478,2927.0,,,,3549.0,3549.0,3549.0,3549.0,4351.0,4473.0,4725.0,4725.0,4725.0,4725.0,5212.0,5212.0,5638.0,5638.0,5638.0,5638.0,5638.0,6078.0,6244.0,6368.0,6476.0,6476.0,6476.0,6476.0,6476.0,6984.0,6984.0,14660.0,14660.0,14976.0,14976,14976,27/02/2021 00:00
Wunsiedel i. Fichtelgebirge,9479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ansbach,9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Erlangen,9562,1717.0,,,,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717,1717,28/02/2021 00:00
Fürth,9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Nürnberg,9564,,,,,,,,,,,,,,,,,22098.0,22860.0,23773.0,23773.0,23773.0,23773.0,27795.0,28895.0,29771.0,29771.0,29771.0,29771.0,29771.0,34135.0,34962.0,36367.0,36367.0,36367.0,36367,36367,28/02/2021 00:00
Schwabach,9565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ansbach,9571,,,,,,,,,,,,,,,,,,,,,,,,,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653,12653,27/02/2021 00:00
Erlangen-Höchstadt,9572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Fürth,9573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Nürnberger Land,9574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202.0,11202.0,11202.0,11202,11202,26/02/2021 00:00
Neustadt a.d. Aisch-Bad Windsheim,9575,,,,,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008,5008,28/02/2021 00:00
Roth,9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Weißenburg-Gunzenhausen,9577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Aschaffenburg,9661,,,,,,,,,,,,,,,,,,,,,,,,,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190,15190,28/02/2021 00:00
Schweinfurt,9662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Würzburg,9663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Aschaffenburg,9671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Bad Kissingen,9672,1802.0,,,,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,5766.0,6148.0,6148.0,6148.0,6701.0,6701.0,6701.0,6701.0,6701.0,8073.0,8073.0,8073.0,8073,8073,28/02/2021 00:00
Rhön-Grabfeld,9673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Haßberge,9674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Kitzingen,9675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Miltenberg,9676,3100.0,,,,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916,3916,26/02/2021 00:00
Main-Spessart,9677,,,,,,,,,,,,,,,,,,,,,,,,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271,5271,28/02/2021 00:00
Schweinfurt,9678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Würzburg,9679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Augsburg,9761,,,,,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365,6365,28/02/2021 00:00
Kaufbeuren,9762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Kempten (Allgäu),9763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202.0,11202.0,11202,11202,28/02/2021 00:00
Memmingen,9764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Aichach-Friedberg,9771,1233.0,,,,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,6155.0,6155.0,6155.0,6155.0,6155.0,6155.0,6155.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670,7670,28/02/2021 00:00
Augsburg,9772,,,,,,,,,,,,,9823.0,9823.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563,13563,28/02/2021 00:00
Dillingen a.d. Donau,9773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Günzburg,9774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Neu-Ulm,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Lindau (Bodensee),9776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ostallgäu,9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Unterallgäu,9778,1500.0,,,,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500,1500,28/02/2021 00:00
Donau-Ries,9779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Oberallgäu,9780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202.0,11202.0,11202,11202,28/02/2021 00:00
"Saarbrücken, Regionalverband",10041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Merzig-Wadern,10042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Neunkirchen,10043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Saarlouis,10044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Saarpfalz-Kreis,10045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
St. Wendel,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Berlin,11000,57184.0,,,,57184.0,57184.0,57184.0,130266.0,130266.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,204039.0,209500.0,219549.0,219549.0,219549.0,235336.0,235336.0,235336.0,235336.0,235336.0,266530.0,278242.0,278242.0,292888,292888,28/02/2021 00:00
Brandenburg an der Havel,12051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Cottbus,12052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Frankfurt (Oder),12053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Potsdam,12054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Barnim,12060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Dahme-Spreewald,12061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Elbe-Elster,12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Havelland,12063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Märkisch-Oderland,12064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Oberhavel,12065,180.0,,,,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180,180,28/02/2021 00:00
Oberspreewald-Lausitz,12066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Oder-Spree,12067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ostprignitz-Ruppin,12068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Potsdam-Mittelmark,12069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Prignitz,12070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Spree-Neiße,12071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Teltow-Fläming,12072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Uckermark,12073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Rostock,13003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Schwerin,13004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Mecklenburgische Seenplatte,13071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Rostock,13072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Vorpommern-Rügen,13073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Nordwestmecklenburg,13074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Vorpommern-Greifswald,13075,,,,,,,,,,,,,,,,,,,,,,,,,,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647,11647,28/02/2021 00:00
Ludwigslust-Parchim,13076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Chemnitz,14511,,,,,,,,,,,,,,,,,,,,,,,,10433.0,10433.0,10433.0,10433.0,10433.0,10433.0,14028.0,14028.0,14028.0,14028.0,14028.0,15676,15676,28/02/2021 00:00
Erzgebirgskreis,14521,,,,,,,,,,,,,,,,,,,,,,,,12188.0,12188.0,12188.0,12188.0,12188.0,12188.0,16148.0,16148.0,16148.0,16148.0,16148.0,17828,17828,28/02/2021 00:00
Mittelsachsen,14522,,,,,,,,,,,,,,,,,,,,,,,,11104.0,11104.0,11104.0,11104.0,11104.0,11104.0,15321.0,15321.0,15321.0,15321.0,15321.0,17646,17646,28/02/2021 00:00
Vogtlandkreis,14523,,,,,,,,,,,,,,,,,,,,,,,,10195.0,10195.0,10195.0,10195.0,10195.0,10195.0,13822.0,13822.0,13822.0,13822.0,13822.0,15646,15646,28/02/2021 00:00
Zwickau,14524,,,,,,,,,,,,,,,,,,,,,,,,11168.0,11168.0,11168.0,11168.0,11168.0,11168.0,15340.0,15340.0,15340.0,15340.0,15340.0,17459,17459,26/02/2021 00:00
Dresden,14612,,,,,,,,,,,,,,,,,,,,,,,,22152.0,22152.0,22152.0,22152.0,22152.0,22152.0,29119.0,29119.0,29119.0,29119.0,29119.0,32566,32566,28/02/2021 00:00
Bautzen,14625,,,,,,,,,,,,,,,,,,,,,,,,10213.0,10213.0,10213.0,10213.0,10213.0,10213.0,13847.0,13847.0,13847.0,13847.0,13847.0,15636,15636,28/02/2021 00:00
Görlitz,14626,,,,,,,,,,,,,,,,,,,,,,,,9596.0,9596.0,9596.0,9596.0,9596.0,9596.0,13258.0,13258.0,13258.0,13258.0,13258.0,15134,15134,28/02/2021 00:00
Meißen,14627,,,,,,,,,,,,,,,,,,,,,,,,9055.0,9055.0,9055.0,9055.0,9055.0,9055.0,12674.0,12674.0,12674.0,12674.0,12674.0,14082,14082,28/02/2021 00:00
Sächsische Schweiz-Osterzgebirge,14628,,,,,,,,,,,,,,,,,,,,,,,,8703.0,8703.0,8703.0,8703.0,8703.0,8703.0,12869.0,12869.0,12869.0,12869.0,12869.0,14799,14799,28/02/2021 00:00
Leipzig,14713,,,,,,,,,,,,,,,,,,,,,,,,27837.0,27837.0,27837.0,27837.0,27837.0,27837.0,35726.0,35726.0,35726.0,35726.0,35726.0,39034,39034,26/02/2021 00:00
Leipzig,14729,,,,,,,,,,,,,,,,,,,,,,,,9974.0,9974.0,9974.0,9974.0,9974.0,9974.0,13829.0,13829.0,13829.0,13829.0,13829.0,15579,15579,27/02/2021 00:00
Nordsachsen,14730,,,,,,,,,,,,,,,,,,,,,,,,7942.0,7942.0,7942.0,7942.0,7942.0,7942.0,11241.0,11241.0,11241.0,11241.0,11241.0,13777,13777,28/02/2021 00:00
Dessau-Roßlau,15001,,,,,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0,5811.0,5811.0,5811.0,5811.0,5944.0,5944.0,6418.0,6418.0,6418.0,6752.0,6752.0,6752.0,7643.0,7643.0,7643.0,7643,7643,28/02/2021 00:00
Halle (Saale),15002,5527.0,,,,7533.0,7533.0,8804.0,8804.0,9056.0,9266.0,9798.0,10157.0,10361.0,10361.0,10394.0,10394.0,10785.0,10785.0,10785.0,13786.0,15152.0,15152.0,15152.0,15450.0,15450.0,16833.0,17374.0,18743.0,24210.0,19363.0,19363.0,19363.0,19363.0,21183.0,22205,22205,28/02/2021 00:00
Magdeburg,15003,,,,,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,5102.0,11074.0,11074.0,11074.0,11074.0,11764.0,11764.0,13248.0,13248.0,13248.0,13922.0,13922.0,13922.0,15582.0,15582.0,15582.0,15582,15582,28/02/2021 00:00
Altmarkkreis Salzwedel,15081,,,,,2811.0,2811.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,3162.0,5182.0,5182.0,5182.0,5182.0,5647.0,5647.0,6023.0,6023.0,6023.0,6023.0,6023.0,6023.0,6447.0,6447.0,6447.0,6447,6447,28/02/2021 00:00
