GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,current,current_time
Hochtaunuskreis,6434,,,,,,,,,,,,,,,,,,,,,,,,10326.0,10326.0,10573.0,10573.0,10573.0,10573.0,11509.0,11509.0,12200.0,12412.0,12412.0,12412,12412,28/02/2021 00:00
Main-Kinzig-Kreis,6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Main-Taunus-Kreis,6436,1032.0,,,,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,1032.0,7044.0,7044.0,7044.0,7044.0,7044.0,7044,7044,26/02/2021 00:00
Odenwaldkreis,6437,1422.0,,,,1422.0,1422.0,1422.0,1422.0,1422.0,1422.0,1422.0,1422.0,1422.0,1422.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599.0,3599,3599,28/02/2021 00:00
Offenbach,6438,,,,,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200.0,5200,5200,28/02/2021 00:00
Rheingau-Taunus-Kreis,6439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 23:59
Wetteraukreis,6440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/02/2021 00:00
Gießen,6531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Lahn-Dill-Kreis,6532,3692.0,,,,6276.0,6276.0,6276.0,6801.0,6801.0,6801.0,6801.0,6801.0,7101.0,7178.0,7178.0,7444.0,7444.0,8719.0,8719.0,8719.0,8719.0,8719.0,8719.0,8719.0,8719.0,8719.0,11633.0,11633.0,11633.0,12075.0,12375.0,12375.0,12375.0,12375.0,12375,12375,28/02/2021 00:00
Limburg-Weilburg,6533,,,,,2262.0,2724.0,2724.0,2724.0,2724.0,2828.0,2828.0,2828.0,2973.0,2973.0,2973.0,2973.0,2973.0,2973.0,2973.0,3669.0,3669.0,3669.0,3669.0,3669.0,3669.0,3669.0,3669.0,3669.0,3669.0,3669.0,5264.0,5264.0,5264.0,5437.0,5437,5437,28/02/2021 00:00
Marburg-Biedenkopf,6534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11134.0,11134.0,11134.0,11134.0,11134,11134,28/02/2021 00:00
Vogelsbergkreis,6535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Kassel,6611,3055.0,,,,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,3055.0,17069.0,17069.0,17069.0,17069.0,17069.0,17069.0,17069.0,17069.0,17069.0,17069.0,17069.0,17069.0,17069,17069,28/02/2021 00:00
Fulda,6631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Hersfeld-Rotenburg,6632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Kassel,6633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Schwalm-Eder-Kreis,6634,,,,,4386.0,4386.0,4386.0,4875.0,4875.0,4875.0,4875.0,4875.0,5564.0,5564.0,5995.0,5995.0,6166.0,6166.0,6166.0,6166.0,6166.0,6166.0,6166.0,6166.0,6166.0,6166.0,8089.0,8089.0,8089.0,8624.0,8624.0,8624.0,8624.0,8624.0,8624,8624,28/02/2021 00:00
Waldeck-Frankenberg,6635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Werra-Meißner-Kreis,6636,2445.0,,,,3904.0,3904.0,3904.0,3904.0,3904.0,4206.0,4374.0,4374.0,4638.0,4638.0,4638.0,4638.0,4638.0,4638.0,4638.0,4638.0,6034.0,6034.0,6034.0,6034.0,6034.0,7046.0,7046.0,7046.0,7046.0,7046.0,7665.0,7665.0,7665.0,7665.0,7665,7665,28/02/2021 00:00
Koblenz,7111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Ahrweiler,7131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Altenkirchen (Westerwald),7132,1680.0,,,,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540,3540,28/02/2021 00:00
Bad Kreuznach,7133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Birkenfeld,7134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Cochem-Zell,7135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Mayen-Koblenz,7137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Neuwied,7138,6465.0,,,,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465.0,6465,6465,28/02/2021 00:00
Rhein-Hunsrück-Kreis,7140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Rhein-Lahn-Kreis,7141,3321.0,,,,3799.0,3799.0,3799.0,3799.0,3799.0,3799.0,3799.0,3799.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,4064.0,4064.0,4064.0,4064.0,4064.0,4064.0,5037.0,5548.0,5548.0,5548.0,5548.0,5548.0,5548,5548,28/02/2021 00:00
Westerwaldkreis,7143,2021.0,,,,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,6787.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,5343.0,7985.0,7985.0,15964.0,15964.0,8979,8979,28/02/2021 00:00
Trier,7211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Bernkastel-Wittlich,7231,2727.0,,,,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727.0,2727,2727,28/02/2021 00:00
Eifelkreis Bitburg-Prüm,7232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Vulkaneifel,7233,2304.0,,,,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,2304.0,5237.0,5237.0,4153.0,4153.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237,5237,28/02/2021 00:00
Trier-Saarburg,7235,8600.0,,,,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600.0,8600,8600,28/02/2021 00:00
Frankenthal (Pfalz),7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Kaiserslautern,7312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Landau in der Pfalz,7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/02/2021 00:00
Ludwigshafen am Rhein,7314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Mainz,7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
Neustadt an der Weinstraße,7316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2021 00:00
Pirmasens,7317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/02/2021 00:00
