GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,current,current_time
Saalekreis,15088,1916.0,,,,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,5911.0,8431.0,8431.0,8431.0,8431.0,8990.0,8990.0,9438.0,9438.0,9438.0,9698.0,9698.0,9698.0,10398.0,10398.0,10398.0,10398.0,10398.0,10398.0,10398.0,12250.0,12250.0,12250.0,12250.0,12250.0,12250.0,12250.0,14395.0,14395.0,14395,14395,12/03/2021 00:00
Salzlandkreis,15089,,,,,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,4620.0,8250.0,8250.0,8250.0,8250.0,9146.0,9146.0,9980.0,9980.0,9980.0,10385.0,10385.0,10385.0,11709.0,11709.0,11709.0,11709.0,11709.0,11709.0,11709.0,13591.0,13591.0,13591.0,13591.0,13591.0,13591.0,13591.0,13591.0,13591.0,13591,13591,12/03/2021 00:00
Stendal,15090,2064.0,,,,2990.0,2990.0,2990.0,3114.0,3114.0,3213.0,3213.0,3351.0,3351.0,3351.0,3351.0,3351.0,3351.0,3351.0,3351.0,5220.0,5220.0,5220.0,5220.0,5591.0,5591.0,5876.0,5876.0,5876.0,5990.0,5990.0,5990.0,6827.0,6827.0,6827.0,6827.0,6827.0,6827.0,6827.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739,8739,12/03/2021 00:00
Wittenberg,15091,,,,,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,5501.0,5501.0,5501.0,5501.0,5722.0,5722.0,6313.0,6313.0,6313.0,6662.0,6662.0,6662.0,7539.0,7539.0,7539.0,7539.0,7539.0,7539.0,7539.0,9251.0,9251.0,9251.0,9251.0,9251.0,9251.0,9251.0,9251.0,9251.0,9251,9251,13/03/2021 00:00
Erfurt,16051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Gera,16052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Jena,16053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Suhl,16054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Weimar,16055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Eisenach,16056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Eichsfeld,16061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Nordhausen,16062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Wartburgkreis,16063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Unstrut-Hainich-Kreis,16064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Kyffhäuserkreis,16065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Schmalkalden-Meiningen,16066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Gotha,16067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Sömmerda,16068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Hildburghausen,16069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Ilm-Kreis,16070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Weimarer Land,16071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Sonneberg,16072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Saalfeld-Rudolstadt,16073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Saale-Holzland-Kreis,16074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Saale-Orla-Kreis,16075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2021 00:00
Greiz,16076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Altenburger Land,16077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
