GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,current,current_time
Miltenberg,9676,3100.0,,,,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916,3916,12/03/2021 00:00
Main-Spessart,9677,,,,,,,,,,,,,,,,,,,,,,,,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,12738.0,12738.0,12738,12738,12/03/2021 00:00
Schweinfurt,9678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Würzburg,9679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Augsburg,9761,,,,,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,23921.0,23921.0,23921.0,23921.0,23921.0,23921.0,23921.0,23921.0,30235.0,30235.0,30235,30235,13/03/2021 00:00
Kaufbeuren,9762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Kempten (Allgäu),9763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202.0,11202.0,11202.0,11202.0,11202.0,11202.0,11202.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670,10670,12/03/2021 00:00
Memmingen,9764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Aichach-Friedberg,9771,1233.0,,,,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,6155.0,6155.0,6155.0,6155.0,6155.0,6155.0,6155.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670,7670,12/03/2021 00:00
Augsburg,9772,,,,,,,,,,,,,9823.0,9823.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563,13563,12/03/2021 00:00
Dillingen a.d. Donau,9773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10671.0,10671.0,10671,10671,12/03/2021 00:00
Günzburg,9774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Neu-Ulm,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Lindau (Bodensee),9776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Ostallgäu,9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Unterallgäu,9778,1500.0,,,,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500,1500,12/03/2021 00:00
Donau-Ries,9779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Oberallgäu,9780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202.0,11202.0,11202.0,11202.0,11202.0,11202.0,11202.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705,9705,12/03/2021 00:00
"Saarbrücken, Regionalverband",10041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Merzig-Wadern,10042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Neunkirchen,10043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Saarlouis,10044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Saarpfalz-Kreis,10045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
St. Wendel,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Berlin,11000,57184.0,,,,57184.0,57184.0,57184.0,130266.0,130266.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,204039.0,209500.0,219549.0,219549.0,219549.0,235336.0,235336.0,235336.0,235336.0,235336.0,266530.0,278242.0,278242.0,292888.0,292888.0,311102.0,311102.0,311102.0,311102.0,343189.0,351762.0,351762.0,369193.0,378470.0,378470.0,378470.0,378470,378470,13/03/2021 00:00
Brandenburg an der Havel,12051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Cottbus,12052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Frankfurt (Oder),12053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Potsdam,12054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Barnim,12060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Dahme-Spreewald,12061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Elbe-Elster,12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Havelland,12063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Märkisch-Oderland,12064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Oberhavel,12065,180.0,,,,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180,180,12/03/2021 00:00
Oberspreewald-Lausitz,12066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Oder-Spree,12067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Ostprignitz-Ruppin,12068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Potsdam-Mittelmark,12069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Prignitz,12070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Spree-Neiße,12071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Teltow-Fläming,12072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Uckermark,12073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Rostock,13003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Schwerin,13004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021 00:00
Mecklenburgische Seenplatte,13071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Rostock,13072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Vorpommern-Rügen,13073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Nordwestmecklenburg,13074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2021 00:00
Vorpommern-Greifswald,13075,,,,,,,,,,,,,,,,,,,,,,,,,,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647,11647,12/03/2021 00:00
Ludwigslust-Parchim,13076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18202.0,18202.0,18202.0,18202.0,20505.0,20505,20505,12/03/2021 00:00
