GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,25.03.2021,26.03.2021,27.03.2021,28.03.2021,29.03.2021,30.03.2021,31.03.2021,01.04.2021,02.04.2021,03.04.2021,04.04.2021,05.04.2021,06.04.2021,07.04.2021,08.04.2021,09.04.2021,10.04.2021,11.04.2021,12.04.2021,13.04.2021,14.04.2021,15.04.2021,16.04.2021,17.04.2021,18.04.2021,19.04.2021,20.04.2021,21.04.2021,current,current_time
Schaumburg,3257,2303.0,,,,2303.0,2303.0,2303.0,2303.0,2303.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,6644.0,6644.0,6644.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,7556.0,31132.0,31132.0,31132.0,31132.0,34010.0,34010.0,34010.0,34010.0,34010.0,34010.0,34010,34010,21/04/2021 00:00
Celle,3351,2242.0,,,,3794.0,3794.0,3794.0,3794.0,3794.0,3794.0,3794.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,9426.0,9426.0,9426.0,9426.0,9426.0,9426.0,9426.0,12279.0,12279.0,12279.0,12279.0,12279.0,12279.0,12279.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,15397.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,22176.0,36079.0,36079.0,41468.0,41468.0,41468.0,41468.0,41468.0,41468,41468,21/04/2021 00:00
Cuxhaven,3352,2979.0,,,,4026.0,4026.0,4026.0,4026.0,4026.0,5253.0,5253.0,5253.0,5253.0,5253.0,5253.0,5253.0,5253.0,5253.0,5253.0,5253.0,5253.0,5253.0,8727.0,8997.0,8997.0,8997.0,9502.0,9502.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,10037.0,12834.0,12834.0,12834.0,14073.0,14073.0,14073.0,14073.0,14073.0,14073.0,16770.0,16770.0,16770.0,16770.0,16770.0,16770.0,19354.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,20098.0,38546.0,40759.0,40759.0,40759.0,40759.0,40759.0,40759.0,40759,40759,20/04/2021 00:00
Harburg,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600.0,29600,29600,20/04/2021 00:00
Lüchow-Dannenberg,3354,614.0,,,,614.0,614.0,614.0,826.0,826.0,826.0,826.0,826.0,1029.0,1029.0,1029.0,1029.0,1029.0,1029.0,1669.0,1669.0,1669.0,1669.0,1669.0,1669.0,1669.0,1669.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375.0,6375,6375,21/04/2021 00:00
Lüneburg,3355,,,,,,,,,,,,,,,,,,,,,,,,,,,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,35740.0,35740.0,35740.0,35740.0,35740.0,35740.0,35740.0,35740.0,35740.0,35740.0,35740,35740,20/04/2021 00:00
Osterholz,3356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,5546.0,19421.0,19421.0,19421.0,19421.0,19421.0,19421.0,19421.0,19421.0,19421.0,19421.0,19421,19421,21/04/2021 00:00
Rotenburg (Wümme),3357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11722.0,11722.0,11722.0,11722.0,11722.0,11722.0,11722.0,11722.0,11722.0,13134.0,13134.0,13134.0,13134.0,13134.0,13134.0,13134.0,13134.0,13134.0,13134.0,13134.0,13134.0,13134.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685.0,20685,20685,21/04/2021 00:00
Heidekreis,3358,2272.0,,,,2561.0,2561.0,2561.0,2561.0,2561.0,3417.0,3417.0,3417.0,4427.0,4427.0,4573.0,4933.0,4933.0,4933.0,4933.0,5833.0,5833.0,6003.0,6003.0,6003.0,6003.0,6003.0,7058.0,7058.0,7058.0,7058.0,7808.0,8293.0,8293.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,8885.0,11460.0,11460.0,12573.0,12573.0,12573.0,12573.0,12573.0,12573.0,12573.0,15083.0,15083.0,15488.0,15488.0,15923.0,15923.0,16582.0,16582.0,16582.0,17829.0,17829.0,17829.0,17829.0,19234.0,19234.0,19234.0,19234.0,19234.0,19234.0,19234.0,21296.0,21296.0,21296.0,21296.0,21296.0,23637.0,24252.0,24252.0,25653.0,25653.0,27149.0,27149.0,27149.0,27149.0,27149,27149,21/04/2021 00:00
Stade,3359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/04/2021 00:00
