GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,current,current_time
Berchtesgadener Land,9172,1525.0,,,,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,15274.0,15274.0,15274.0,15274.0,15274.0,15274.0,15274,15274,23/03/2021 00:00
Bad Tölz-Wolfratshausen,9173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,14204.0,19709.0,19709,19709,23/03/2021 00:00
Dachau,9174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17515.0,17515.0,17515.0,17515.0,17515.0,17515.0,17515.0,17515.0,20290.0,20290.0,20290.0,20290.0,20290.0,20290.0,20290,20290,23/03/2021 00:00
Ebersberg,9175,,,,,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,4196.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,6731.0,7974.0,11493.0,11493.0,13026.0,13026.0,13026.0,13026.0,15014.0,15014.0,16346.0,16758.0,16758.0,16758.0,16758.0,18817.0,18817.0,19553.0,19748.0,19876.0,19876.0,19876.0,20426.0,21668.0,21668,21668,23/03/2021 00:00
Eichstätt,9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Erding,9177,3043.0,,,,3277.0,3277.0,3277.0,4511.0,4511.0,4511.0,7134.0,7134.0,7134.0,7134.0,5780.0,5780.0,5780.0,5780.0,5780.0,5780.0,5780.0,5780.0,5780.0,7807.0,7807.0,7807.0,7807.0,7807.0,8579.0,8579.0,8579.0,9444.0,9648.0,9648.0,9648.0,10152.0,10425.0,10757.0,11076.0,11076.0,11076.0,11076.0,12117.0,12450.0,13107.0,13714.0,13714.0,13714.0,13714.0,15153.0,15153.0,15753.0,16202.0,16584.0,16584.0,16584.0,16895.0,16895.0,16895,16895,23/03/2021 00:00
Freising,9178,,,,,4724.0,4724.0,4724.0,5687.0,5817.0,5817.0,6382.0,6382.0,6382.0,6382.0,7074.0,7074.0,7074.0,7519.0,7519.0,7707.0,7707.0,7707.0,7707.0,8890.0,9172.0,9308.0,9308.0,9308.0,10064.0,10064.0,10064.0,11361.0,11694.0,11694.0,11694.0,13113.0,13113.0,13867.0,14313.0,14646.0,14646.0,14646.0,14646.0,16443.0,16848.0,17320.0,17658.0,17658.0,17658.0,20906.0,20906.0,21568.0,21986.0,22228.0,22228.0,22228.0,23079.0,23079.0,23079,23079,23/03/2021 00:00
Fürstenfeldbruck,9179,5568.0,,,,6644.0,6644.0,6644.0,6644.0,7581.0,7816.0,7816.0,7816.0,7816.0,7816.0,7816.0,7816.0,7816.0,9561.0,9561.0,9561.0,9561.0,9561.0,9561.0,11635.0,11635.0,11635.0,11635.0,11635.0,11635.0,14332.0,14332.0,14332.0,14332.0,14332.0,14332.0,14332.0,14332.0,18879.0,18879.0,18879.0,18879.0,18879.0,18879.0,23356.0,23356.0,23356.0,23356.0,23356.0,23356.0,23356.0,27530.0,27530.0,27530.0,27530.0,27530.0,27530.0,27530.0,31304.0,31304,31304,23/03/2021 00:00
Garmisch-Partenkirchen,9180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10435.0,10435.0,10435.0,11003.0,11180.0,11180.0,11180.0,11651.0,11651.0,11651,11651,23/03/2021 00:00
Landsberg am Lech,9181,,,,,2531.0,2531.0,2531.0,3062.0,3062.0,3062.0,3062.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4040.0,4903.0,4903.0,4903.0,5737.0,5737.0,5737.0,5737.0,5737.0,5737.0,5737.0,6642.0,6642.0,6642.0,6642.0,6642.0,6642.0,6642.0,8447.0,8447.0,8447.0,8447.0,9280.0,9280.0,9280.0,10809.0,10809.0,10809.0,10809.0,10809.0,10809.0,10809.0,13877.0,13877.0,13877.0,13877.0,13877.0,14953.0,14953,14953,23/03/2021 00:00
