GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,current,current_time
Coburg,9463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,11440.0,17863.0,17863.0,17863,17863,23/03/2021 00:00
Hof,9464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Bamberg,9471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Bayreuth,9472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19985.0,19985.0,19985.0,27176.0,27176.0,27176,27176,23/03/2021 00:00
Coburg,9473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Forchheim,9474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936.0,12936,12936,23/03/2021 00:00
Hof,9475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Kronach,9476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Kulmbach,9477,,,,,,,,,,,,,,,,,,,,,,,,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,5644.0,8319.0,8319.0,8319.0,8319.0,8319.0,8319.0,8319.0,8319.0,8319.0,8319,8319,23/03/2021 00:00
Lichtenfels,9478,2927.0,,,,3549.0,3549.0,3549.0,3549.0,4351.0,4473.0,4725.0,4725.0,4725.0,4725.0,5212.0,5212.0,5638.0,5638.0,5638.0,5638.0,5638.0,6078.0,6244.0,6368.0,6476.0,6476.0,6476.0,6476.0,6476.0,6984.0,6984.0,14660.0,14660.0,14976.0,14976.0,14976.0,14976.0,16910.0,16910.0,16910.0,16910.0,16910.0,16910.0,9370.0,9370.0,9967.0,10301.0,10301.0,10301.0,11289.0,11289.0,11786.0,11943.0,12075.0,12075.0,12461.0,12461.0,12918.0,12918,12918,24/03/2021 00:00
Wunsiedel i. Fichtelgebirge,9479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11503.0,11503.0,11503.0,12078.0,12078.0,12078.0,12078,12078,23/03/2021 00:00
Ansbach,9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Erlangen,9562,1717.0,,,,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,,,,,,,,,,,,,,,,,1717.0,23/03/2021 00:00
Fürth,9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Nürnberg,9564,,,,,,,,,,,,,,,,,22098.0,22860.0,23773.0,23773.0,23773.0,23773.0,27795.0,28895.0,29771.0,29771.0,29771.0,29771.0,29771.0,34135.0,34962.0,36367.0,36367.0,36367.0,36367.0,40370.0,41531.0,41531.0,44356.0,45892.0,45892.0,45892.0,50694.0,52063.0,53610.0,55474.0,55474.0,57172.0,57172.0,61943.0,63795.0,63795.0,65275.0,87297.0,87297.0,65959.0,69909.0,94262.0,94262,94262,24/03/2021 00:00
Schwabach,9565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Ansbach,9571,,,,,,,,,,,,,,,,,,,,,,,,,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,12653.0,20255.0,20255.0,20255.0,20255.0,24580.0,24580.0,24580,24580,23/03/2021 00:00
Erlangen-Höchstadt,9572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474.0,34474,34474,23/03/2021 00:00
Fürth,9573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Nürnberger Land,9574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202.0,11202.0,11202.0,11202.0,8037.0,8044.0,12640.0,12640.0,12640.0,12640.0,12640.0,15806.0,16361.0,16361.0,17180.0,17180.0,17180.0,17180.0,19191.0,19191.0,19191.0,20070.0,20070.0,20070.0,20070.0,20070.0,22181.0,22181,22181,23/03/2021 00:00
Neustadt a.d. Aisch-Bad Windsheim,9575,,,,,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,2905.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,5008.0,7419.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,8752.0,10583.0,10583.0,10583.0,10583.0,10583.0,10583.0,10583.0,10583.0,10583.0,10583,10583,23/03/2021 00:00
Roth,9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Weißenburg-Gunzenhausen,9577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Aschaffenburg,9661,,,,,,,,,,,,,,,,,,,,,,,,,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,15190.0,30335.0,30335.0,30335.0,30335.0,30335.0,30335.0,,30335.0,23/03/2021 00:00
Schweinfurt,9662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Würzburg,9663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Aschaffenburg,9671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Bad Kissingen,9672,1802.0,,,,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,4077.0,5766.0,6148.0,6148.0,6148.0,6701.0,6701.0,6701.0,6701.0,6701.0,8073.0,8073.0,8073.0,8073.0,8073.0,9920.0,9920.0,9920.0,9920.0,9920.0,9920.0,12305.0,12305.0,12305.0,12305.0,12305.0,12305.0,12305.0,12305.0,12305.0,14212.0,14212.0,14212.0,14212.0,14212.0,15967.0,15967.0,15967,15967,23/03/2021 00:00
Rhön-Grabfeld,9673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151.0,7151,7151,23/03/2021 00:00
Haßberge,9674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7306.0,7306.0,7306.0,7306.0,7306.0,7306.0,7306.0,7306.0,7306.0,7306.0,7306.0,7306.0,7306.0,7306,7306,23/03/2021 00:00
Kitzingen,9675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9642.0,9642.0,9642.0,9642.0,9642.0,9642.0,9642.0,11258.0,11258.0,11258.0,11258,11258,23/03/2021 00:00
Miltenberg,9676,3100.0,,,,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,3916.0,16230.0,16230.0,16230.0,16230.0,16230.0,16230.0,16230,16230,23/03/2021 00:00
Main-Spessart,9677,,,,,,,,,,,,,,,,,,,,,,,,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,5271.0,12738.0,12738.0,12738.0,12738.0,12738.0,12738.0,12738.0,12738.0,12738.0,12738.0,12738.0,15363.0,15363.0,15363,15363,23/03/2021 00:00
Schweinfurt,9678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Würzburg,9679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Augsburg,9761,,,,,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,23921.0,23921.0,23921.0,23921.0,23921.0,23921.0,23921.0,23921.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235.0,30235,30235,23/03/2021 00:00
Kaufbeuren,9762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Kempten (Allgäu),9763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202.0,11202.0,11202.0,11202.0,11202.0,11202.0,11202.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,10670.0,14457.0,14457.0,14457,14457,24/03/2021 00:00
Memmingen,9764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Aichach-Friedberg,9771,1233.0,,,,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,1233.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,6155.0,6155.0,6155.0,6155.0,6155.0,6155.0,6155.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670.0,7670,7670,23/03/2021 00:00
Augsburg,9772,,,,,,,,,,,,,9823.0,9823.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,10455.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563.0,13563,13563,23/03/2021 00:00
Dillingen a.d. Donau,9773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10671.0,10671.0,10671.0,10671.0,10671.0,10671.0,10671.0,10671.0,10671.0,10671.0,10671.0,10671.0,10671.0,10671,10671,23/03/2021 00:00
Günzburg,9774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000,10000,23/03/2021 00:00
Neu-Ulm,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Lindau (Bodensee),9776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Ostallgäu,9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Unterallgäu,9778,1500.0,,,,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500,1500,23/03/2021 00:00
Donau-Ries,9779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Oberallgäu,9780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11202.0,11202.0,11202.0,11202.0,11202.0,11202.0,11202.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,9705.0,13336.0,13336.0,13336,13336,24/03/2021 00:00
"Saarbrücken, Regionalverband",10041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Merzig-Wadern,10042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Neunkirchen,10043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Saarlouis,10044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Saarpfalz-Kreis,10045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
St. Wendel,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Berlin,11000,57184.0,,,,57184.0,57184.0,57184.0,130266.0,130266.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,134937.0,204039.0,209500.0,219549.0,219549.0,219549.0,235336.0,235336.0,235336.0,235336.0,235336.0,266530.0,278242.0,278242.0,292888.0,292888.0,311102.0,311102.0,311102.0,311102.0,343189.0,351762.0,351762.0,369193.0,378470.0,378470.0,378470.0,378470.0,427579.0,,448513.0,456166.0,465284.0,465284.0,484289.0,484289.0,484289.0,484289.0,484289,484289,24/03/2021 00:00
Brandenburg an der Havel,12051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Cottbus,12052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2021 00:00
Frankfurt (Oder),12053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2021 00:00
Potsdam,12054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Barnim,12060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2021 00:00
Dahme-Spreewald,12061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2021 00:00
Elbe-Elster,12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2021 00:00
Havelland,12063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2021 00:00
Märkisch-Oderland,12064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Oberhavel,12065,180.0,,,,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180,180,23/03/2021 00:00
Oberspreewald-Lausitz,12066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2021 00:00
Oder-Spree,12067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Ostprignitz-Ruppin,12068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Potsdam-Mittelmark,12069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Prignitz,12070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Spree-Neiße,12071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Teltow-Fläming,12072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2021 00:00
Uckermark,12073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Rostock,13003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Schwerin,13004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Mecklenburgische Seenplatte,13071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Rostock,13072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Vorpommern-Rügen,13073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Nordwestmecklenburg,13074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/03/2021 00:00
Vorpommern-Greifswald,13075,,,,,,,,,,,,,,,,,,,,,,,,,,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,11647.0,19773.0,19773.0,19773.0,19773.0,19773.0,19773.0,19773.0,19773,19773,22/03/2021 00:00
Ludwigslust-Parchim,13076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18202.0,18202.0,18202.0,18202.0,20505.0,20505.0,20505.0,20505.0,20505.0,20505.0,20505.0,23200.0,23200.0,23200.0,23200.0,23200.0,23200,23200,23/03/2021 00:00
Chemnitz,14511,,,,,,,,,,,,,,,,,,,,,,,,10433.0,10433.0,10433.0,10433.0,10433.0,10433.0,14028.0,14028.0,14028.0,14028.0,14028.0,15676.0,15676.0,15676.0,15676.0,15676.0,15676.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,20639.0,31378.0,31378.0,31378.0,31378.0,31378.0,34280.0,34280,34280,23/03/2021 00:00
Erzgebirgskreis,14521,,,,,,,,,,,,,,,,,,,,,,,,12188.0,12188.0,12188.0,12188.0,12188.0,12188.0,16148.0,16148.0,16148.0,16148.0,16148.0,17828.0,17828.0,17828.0,17828.0,17828.0,17828.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,29634.0,29634.0,29634.0,29634.0,29634.0,31565.0,31565,31565,23/03/2021 00:00
Mittelsachsen,14522,,,,,,,,,,,,,,,,,,,,,,,,11104.0,11104.0,11104.0,11104.0,11104.0,11104.0,15321.0,15321.0,15321.0,15321.0,15321.0,17646.0,17646.0,17646.0,17646.0,17646.0,17646.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,23724.0,34877.0,34877.0,34877.0,34877.0,34877.0,37751.0,37751,37751,23/03/2021 00:00
Vogtlandkreis,14523,,,,,,,,,,,,,,,,,,,,,,,,10195.0,10195.0,10195.0,10195.0,10195.0,10195.0,13822.0,13822.0,13822.0,13822.0,13822.0,15646.0,15646.0,15646.0,15646.0,15646.0,15646.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,20557.0,31486.0,31486.0,31486.0,31486.0,31486.0,34612.0,34612,34612,23/03/2021 00:00
Zwickau,14524,,,,,,,,,,,,,,,,,,,,,,,,11168.0,11168.0,11168.0,11168.0,11168.0,11168.0,15340.0,15340.0,15340.0,15340.0,15340.0,17459.0,17459.0,17459.0,17459.0,17459.0,17459.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,22736.0,32806.0,32806.0,32806.0,32806.0,32806.0,36055.0,36055,36055,23/03/2021 00:00
Dresden,14612,,,,,,,,,,,,,,,,,,,,,,,,22152.0,22152.0,22152.0,22152.0,22152.0,22152.0,29119.0,29119.0,29119.0,29119.0,29119.0,32566.0,32566.0,32566.0,32566.0,32566.0,32566.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,40182.0,55722.0,55722.0,55722.0,55722.0,55722.0,59570.0,59570,59570,23/03/2021 00:00
Bautzen,14625,,,,,,,,,,,,,,,,,,,,,,,,10213.0,10213.0,10213.0,10213.0,10213.0,10213.0,13847.0,13847.0,13847.0,13847.0,13847.0,15636.0,15636.0,15636.0,15636.0,15636.0,15636.0,19013.0,19013.0,19013.0,19013.0,19013.0,19013.0,19013.0,19013.0,19013.0,19013.0,25564.0,25564.0,26515.0,26515.0,26515.0,26515.0,26515.0,28352.0,28352,28352,23/03/2021 00:00
Görlitz,14626,,,,,,,,,,,,,,,,,,,,,,,,9596.0,9596.0,9596.0,9596.0,9596.0,9596.0,13258.0,13258.0,13258.0,13258.0,13258.0,15134.0,15134.0,15134.0,15134.0,15134.0,15134.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,19398.0,30049.0,30049.0,30049.0,30049.0,30049.0,32919.0,32919,32919,23/03/2021 00:00
Meißen,14627,,,,,,,,,,,,,,,,,,,,,,,,9055.0,9055.0,9055.0,9055.0,9055.0,9055.0,12674.0,12674.0,12674.0,12674.0,12674.0,14082.0,14082.0,14082.0,14082.0,14082.0,14082.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,18486.0,26385.0,26385.0,26385.0,26385.0,26385.0,29404.0,29404,29404,23/03/2021 00:00
Sächsische Schweiz-Osterzgebirge,14628,,,,,,,,,,,,,,,,,,,,,,,,8703.0,8703.0,8703.0,8703.0,8703.0,8703.0,12869.0,12869.0,12869.0,12869.0,12869.0,14799.0,14799.0,14799.0,14799.0,14799.0,14799.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,18655.0,27103.0,27103.0,27103.0,27103.0,27103.0,29585.0,29585,29585,23/03/2021 00:00
Leipzig,14713,,,,,,,,,,,,,,,,,,,,,,,,27837.0,27837.0,27837.0,27837.0,27837.0,27837.0,35726.0,35726.0,35726.0,35726.0,35726.0,39034.0,39034.0,39034.0,39034.0,39034.0,39034.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,46623.0,63564.0,63564.0,63564.0,63564.0,63564.0,68468.0,68468,68468,24/03/2021 00:00
