date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23569	23569	23569	0	23569	0	0	23569	0	0.00028	0.00000	8634	7775	1281	13036	8634	7775	1281	13036	0	0	0	0
2020-12-28	42309	18740	18740	0	42309	0	0	42309	0	0.00051	0.00000	16423	15167	1967	21868	16423	15167	1967	21868	0	0	0	0
2020-12-29	84960	42651	42651	0	84960	0	0	84960	0	0.00102	0.00000	28854	36728	3043	38596	28854	36728	3043	38596	0	0	0	0
2020-12-30	142961	58001	58001	0	142961	0	0	142961	0	0.00172	0.00000	46267	68157	4644	59521	46267	68157	4644	59521	0	0	0	0
2020-12-31	181578	38617	38617	0	181578	0	0	181578	0	0.00218	0.00000	59362	86810	6462	74881	59362	86810	6462	74881	0	0	0	0
2021-01-01	206327	24749	24749	0	206327	0	0	206327	0	0.00248	0.00000	67107	96774	7537	87480	67107	96774	7537	87480	0	0	0	0
2021-01-02	258509	52182	52182	0	258509	0	0	258509	0	0.00311	0.00000	86485	120619	10018	108566	86485	120619	10018	108566	0	0	0	0
2021-01-03	283495	24986	24986	0	283495	0	0	283495	0	0.00341	0.00000	96402	131471	10948	119141	96402	131471	10948	119141	0	0	0	0
2021-01-04	332180	48685	48685	0	332180	0	0	332180	0	0.00399	0.00000	111739	156562	13607	134949	111739	156562	13607	134949	0	0	0	0
2021-01-05	384636	52456	52456	0	384636	0	0	384636	0	0.00462	0.00000	127984	184094	16042	153118	127984	184093	16042	153118	0	1	0	0
2021-01-06	443803	59167	59167	0	443803	0	0	443803	0	0.00534	0.00000	145929	215072	19454	174309	145929	215071	19454	174309	0	1	0	0
2021-01-07	502265	58462	58462	0	502265	0	0	502265	0	0.00604	0.00000	163737	245486	22458	192132	163737	245485	22458	192132	0	1	0	0
2021-01-08	562710	60445	60445	0	562710	0	0	562710	0	0.00677	0.00000	183326	277100	25750	211908	183322	277099	25750	211908	4	1	0	0
2021-01-09	620033	57323	57323	0	620033	0	0	620033	0	0.00746	0.00000	205722	301858	28063	234850	205714	301857	28063	234850	8	1	0	0
2021-01-10	653313	33280	33280	0	653313	0	0	653313	0	0.00786	0.00000	218947	315971	29332	246656	218937	315970	29332	246656	10	1	0	0
2021-01-11	718980	65667	65667	0	718980	0	0	718980	0	0.00865	0.00000	241909	347287	32277	266924	241899	347286	32277	266924	10	1	0	0
2021-01-12	801064	82084	82084	0	801064	0	0	801064	0	0.00963	0.00000	267423	389630	35429	291162	267413	389629	35429	291162	10	1	0	0
