date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23567	23567	23567	0	23567	0	0	23567	0	0.00028	0.00000	8634	7774	1281	13036	8634	7774	1281	13036	0	0	0	0
2020-12-28	42308	18741	18741	0	42308	0	0	42308	0	0.00051	0.00000	16423	15166	1968	21869	16423	15166	1968	21869	0	0	0	0
2020-12-29	84963	42655	42655	0	84963	0	0	84963	0	0.00102	0.00000	28858	36727	3044	38598	28858	36727	3044	38598	0	0	0	0
2020-12-30	142967	58004	58004	0	142967	0	0	142967	0	0.00172	0.00000	46272	68157	4645	59525	46272	68157	4645	59525	0	0	0	0
2020-12-31	181586	38619	38619	0	181586	0	0	181586	0	0.00218	0.00000	59368	86811	6463	74885	59368	86811	6463	74885	0	0	0	0
2021-01-01	206339	24753	24753	0	206339	0	0	206339	0	0.00248	0.00000	67117	96775	7538	87485	67117	96775	7538	87485	0	0	0	0
2021-01-02	258396	52057	52057	0	258396	0	0	258396	0	0.00311	0.00000	86428	120562	10019	108503	86428	120562	10019	108503	0	0	0	0
2021-01-03	283388	24992	24992	0	283388	0	0	283388	0	0.00341	0.00000	96348	131415	10949	119083	96348	131415	10949	119083	0	0	0	0
2021-01-04	332041	48653	48653	0	332041	0	0	332041	0	0.00399	0.00000	111673	156481	13609	134898	111673	156481	13609	134898	0	0	0	0
2021-01-05	384477	52436	52436	0	384477	0	0	384477	0	0.00462	0.00000	127915	184000	16044	153057	127915	183999	16044	153057	0	1	0	0
2021-01-06	443565	59088	59088	0	443565	0	0	443565	0	0.00533	0.00000	145832	214942	19458	174205	145832	214941	19458	174205	0	1	0	0
2021-01-07	501981	58416	58416	0	501981	0	0	501981	0	0.00604	0.00000	163621	245346	22462	191992	163620	245345	22462	191992	1	1	0	0
2021-01-08	562320	60339	60339	0	562320	0	0	562320	0	0.00676	0.00000	183169	276900	25754	211720	183164	276899	25754	211720	5	1	0	0
2021-01-09	619513	57193	57193	0	619513	0	0	619513	0	0.00745	0.00000	205513	301604	28067	234589	205504	301603	28067	234589	9	1	0	0
2021-01-10	652798	33285	33285	0	652798	0	0	652798	0	0.00785	0.00000	218742	315718	29336	246397	218731	315717	29336	246397	11	1	0	0
2021-01-11	718468	65670	65670	0	718468	0	0	718468	0	0.00864	0.00000	241706	347034	32281	266666	241695	347033	32281	266666	11	1	0	0
2021-01-12	800654	82186	82186	0	800654	0	0	800654	0	0.00963	0.00000	267224	389471	35433	290904	267213	389470	35433	290904	11	1	0	0
2021-01-13	899656	99002	99002	0	898861	795	0	899656	0	0.01082	0.00000	299584	441701	38855	320394	299573	441700	38855	320394	11	1	0	0
2021-01-14	999808	100152	100038	114	994365	5443	0	999694	114	0.01202	0.00000	325722	493020	41150	353241	325656	493015	41150	353241	66	5	0	0
2021-01-15	1092604	92796	92367	429	1081710	10894	0	1092061	543	0.01313	0.00001	355446	540313	44767	381371	355267	540229	44758	381282	179	84	9	89
2021-01-16	1149716	57112	56715	397	1136964	12752	0	1148776	940	0.01381	0.00001	376421	565405	46806	401246	376051	565214	46736	400955	370	191	70	291
2021-01-17	1194224	44508	30898	13610	1180057	14167	0	1179674	14550	0.01418	0.00017	393135	584991	48529	419089	386445	579908	47864	410856	6690	5083	665	8233
2021-01-18	1268440	74216	57844	16372	1252339	16101	0	1237518	30922	0.01488	0.00037	420404	620818	50637	439666	407944	608657	49438	424005	12460	12161	1199	15661
2021-01-19	1363680	95240	68009	27231	1346056	17624	0	1305527	58153	0.01570	0.00070	452882	669840	53893	466779	430966	644655	51901	440490	21916	25185	1992	26289
2021-01-20	1492439	128759	78102	50657	1473523	18916	0	1383629	108810	0.01664	0.00131	494913	732360	57792	509403	458144	681804	54902	463105	36769	50556	2890	46298
2021-01-21	1588414	95975	60541	35434	1568398	20016	0	1444170	144244	0.01736	0.00173	532404	776255	62020	540433	482675	708514	58128	480704	49729	67741	3892	59729
2021-01-22	1703685	115271	83982	31289	1682331	21354	0	1528152	175533	0.01837	0.00211	573652	828218	65597	582957	511364	746025	60813	508290	62288	82193	4784	74667
