date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23555	23555	23555	0	23555	0	0	23555	0	0.00028	0.00000	8645	7751	1280	13144	8645	7751	1280	13144	0	0	0	0
2020-12-28	42300	18745	18745	0	42300	0	0	42300	0	0.00051	0.00000	16436	15100	2012	21997	16436	15100	2012	21997	0	0	0	0
2020-12-29	84879	42579	42579	0	84879	0	0	84879	0	0.00102	0.00000	28900	36629	3090	38674	28900	36629	3090	38674	0	0	0	0
2020-12-30	142825	57946	57946	0	142825	0	0	142825	0	0.00172	0.00000	46294	68030	4688	59575	46294	68030	4688	59575	0	0	0	0
2020-12-31	181446	38621	38621	0	181446	0	0	181446	0	0.00218	0.00000	59391	86685	6506	74936	59391	86685	6506	74936	0	0	0	0
2021-01-01	206200	24754	24754	0	206200	0	0	206200	0	0.00248	0.00000	67140	96650	7581	87536	67140	96650	7581	87536	0	0	0	0
2021-01-02	258091	51891	51891	0	258091	0	0	258091	0	0.00310	0.00000	86402	120325	10059	108544	86402	120325	10059	108544	0	0	0	0
2021-01-03	283081	24990	24990	0	283081	0	0	283081	0	0.00340	0.00000	96229	131181	10989	119187	96229	131181	10989	119187	0	0	0	0
2021-01-04	331687	48606	48606	0	331687	0	0	331687	0	0.00399	0.00000	111463	156195	13649	135098	111463	156195	13649	135098	0	0	0	0
2021-01-05	384078	52391	52391	0	384078	0	0	384078	0	0.00462	0.00000	127681	183662	16084	153283	127681	183661	16084	153283	0	1	0	0
2021-01-06	442776	58698	58698	0	442776	0	0	442776	0	0.00532	0.00000	145418	214439	19498	174363	145418	214438	19498	174363	0	1	0	0
2021-01-07	501179	58403	58403	0	501179	0	0	501179	0	0.00603	0.00000	163138	244819	22503	192205	163137	244818	22503	192205	1	1	0	0
2021-01-08	561604	60425	60425	0	561604	0	0	561604	0	0.00675	0.00000	182668	276407	25815	211968	182663	276406	25815	211968	5	1	0	0
2021-01-09	618840	57236	57236	0	618840	0	0	618840	0	0.00744	0.00000	204956	301145	28134	234893	204947	301144	28134	234893	9	1	0	0
2021-01-10	652129	33289	33289	0	652129	0	0	652129	0	0.00784	0.00000	218186	315211	29456	246697	218175	315210	29456	246697	11	1	0	0
2021-01-11	717801	65672	65672	0	717801	0	0	717801	0	0.00863	0.00000	241177	346593	32401	266966	241166	346592	32401	266966	11	1	0	0
2021-01-12	799941	82140	82140	0	799941	0	0	799941	0	0.00962	0.00000	266712	389037	35553	291158	266701	389036	35553	291158	11	1	0	0
2021-01-13	899018	99077	99077	0	898223	795	0	899018	0	0.01081	0.00000	299083	441329	38975	320661	299072	441328	38975	320661	11	1	0	0
2021-01-14	999186	100168	100054	114	993742	5444	0	999072	114	0.01201	0.00000	325332	492589	41326	353330	325266	492584	41326	353330	66	5	0	0
2021-01-15	1091869	92683	92254	429	1080974	10895	0	1091326	543	0.01312	0.00001	355075	539782	44944	381449	354896	539698	44935	381360	179	84	9	89
2021-01-16	1148982	57113	56716	397	1136229	12753	0	1148042	940	0.01380	0.00001	376050	564875	46983	401324	375680	564684	46913	401033	370	191	70	291
2021-01-17	1193534	44552	30942	13610	1179366	14168	0	1178984	14550	0.01418	0.00017	392800	584462	48706	419210	386110	579379	48041	410977	6690	5083	665	8233
2021-01-18	1267762	74228	57818	16410	1251660	16102	0	1236802	30960	0.01487	0.00037	420050	620255	50814	439894	407697	608100	49615	424127	12353	12155	1199	15767
2021-01-19	1362889	95127	67896	27231	1345264	17625	0	1304698	58191	0.01569	0.00070	452529	669162	54071	467007	430720	643983	52079	440612	21809	25179	1992	26395
2021-01-20	1491648	128759	78105	50654	1472731	18917	0	1382803	108845	0.01663	0.00131	494562	731680	57969	509631	457901	681132	55080	463228	36661	50548	2889	46403
2021-01-21	1587674	96026	60592	35434	1567657	20017	0	1443395	144279	0.01736	0.00173	532056	775622	62197	540663	482434	707890	58306	480828	49622	67732	3891	59835
2021-01-22	1703005	115331	84042	31289	1681650	21355	0	1527437	175568	0.01837	0.00211	573279	827667	65773	583166	511098	745483	60990	508393	62181	82184	4783	74773
2021-01-23	1795604	92599	48794	43805	1773866	21738	0	1576231	219373	0.01895	0.00264	607526	868346	69028	614389	529545	765285	62170	522112	77981	103061	6858	92277
2021-01-24	1861704	66100	38073	28027	1839722	21982	0	1614304	247400	0.01941	0.00297	630076	895421	69916	638421	542920	780286	62491	533912	87156	115135	7425	104509
