date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23555	23555	23555	0	23555	0	0	23555	0	0.00028	0.00000	8645	7751	1280	13144	8645	7751	1280	13144	0	0	0	0
2020-12-28	42301	18746	18746	0	42301	0	0	42301	0	0.00051	0.00000	16437	15100	2012	21997	16437	15100	2012	21997	0	0	0	0
2020-12-29	84881	42580	42580	0	84881	0	0	84881	0	0.00102	0.00000	28902	36629	3090	38675	28902	36629	3090	38675	0	0	0	0
2020-12-30	142825	57944	57944	0	142825	0	0	142825	0	0.00172	0.00000	46296	68028	4688	59576	46296	68028	4688	59576	0	0	0	0
2020-12-31	181447	38622	38622	0	181447	0	0	181447	0	0.00218	0.00000	59393	86683	6506	74937	59393	86683	6506	74937	0	0	0	0
2021-01-01	206201	24754	24754	0	206201	0	0	206201	0	0.00248	0.00000	67142	96648	7581	87537	67142	96648	7581	87537	0	0	0	0
2021-01-02	258045	51844	51844	0	258045	0	0	258045	0	0.00310	0.00000	86390	120295	10060	108523	86390	120295	10060	108523	0	0	0	0
2021-01-03	283035	24990	24990	0	283035	0	0	283035	0	0.00340	0.00000	96217	131151	10990	119166	96217	131151	10990	119166	0	0	0	0
2021-01-04	331642	48607	48607	0	331642	0	0	331642	0	0.00399	0.00000	111451	156166	13650	135077	111451	156166	13650	135077	0	0	0	0
2021-01-05	384028	52386	52386	0	384028	0	0	384028	0	0.00462	0.00000	127668	183629	16085	153261	127668	183628	16085	153261	0	1	0	0
2021-01-06	442707	58679	58679	0	442707	0	0	442707	0	0.00532	0.00000	145405	214385	19499	174343	145405	214384	19499	174343	0	1	0	0
2021-01-07	501082	58375	58375	0	501082	0	0	501082	0	0.00603	0.00000	163130	244732	22505	192189	163129	244731	22505	192189	1	1	0	0
