date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23569	23569	23569	0	23569	0	0	23569	0	0.00028	0.00000	8634	7775	1281	13036	8634	7775	1281	13036	0	0	0	0
2020-12-28	42309	18740	18740	0	42309	0	0	42309	0	0.00051	0.00000	16423	15167	1967	21868	16423	15167	1967	21868	0	0	0	0
2020-12-29	84958	42649	42649	0	84958	0	0	84958	0	0.00102	0.00000	28854	36726	3043	38596	28854	36726	3043	38596	0	0	0	0
2020-12-30	142960	58002	58002	0	142960	0	0	142960	0	0.00172	0.00000	46267	68155	4644	59522	46267	68155	4644	59522	0	0	0	0
2020-12-31	181577	38617	38617	0	181577	0	0	181577	0	0.00218	0.00000	59362	86808	6462	74882	59362	86808	6462	74882	0	0	0	0
2021-01-01	206326	24749	24749	0	206326	0	0	206326	0	0.00248	0.00000	67107	96772	7537	87481	67107	96772	7537	87481	0	0	0	0
2021-01-02	258506	52180	52180	0	258506	0	0	258506	0	0.00311	0.00000	86485	120615	10018	108567	86485	120615	10018	108567	0	0	0	0
2021-01-03	283492	24986	24986	0	283492	0	0	283492	0	0.00341	0.00000	96402	131467	10948	119142	96402	131467	10948	119142	0	0	0	0
2021-01-04	332176	48684	48684	0	332176	0	0	332176	0	0.00399	0.00000	111738	156558	13607	134949	111738	156558	13607	134949	0	0	0	0
2021-01-05	384632	52456	52456	0	384632	0	0	384632	0	0.00462	0.00000	127983	184090	16042	153118	127983	184089	16042	153118	0	1	0	0
2021-01-06	443799	59167	59167	0	443799	0	0	443799	0	0.00534	0.00000	145928	215068	19454	174309	145928	215067	19454	174309	0	1	0	0
2021-01-07	502259	58460	58460	0	502259	0	0	502259	0	0.00604	0.00000	163736	245482	22458	192132	163736	245481	22458	192132	0	1	0	0
2021-01-08	562703	60444	60444	0	562703	0	0	562703	0	0.00677	0.00000	183324	277096	25750	211908	183320	277095	25750	211908	4	1	0	0
2021-01-09	620026	57323	57323	0	620026	0	0	620026	0	0.00746	0.00000	205720	301854	28063	234850	205712	301853	28063	234850	8	1	0	0
2021-01-10	653306	33280	33280	0	653306	0	0	653306	0	0.00786	0.00000	218945	315967	29332	246656	218935	315966	29332	246656	10	1	0	0
2021-01-11	718972	65666	65666	0	718972	0	0	718972	0	0.00864	0.00000	241907	347282	32277	266924	241897	347281	32277	266924	10	1	0	0
2021-01-12	801056	82084	82084	0	801056	0	0	801056	0	0.00963	0.00000	267421	389625	35429	291162	267411	389624	35429	291162	10	1	0	0
