date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23567	23567	23567	0	23567	0	0	23567	0	0.00028	0.00000	8634	7774	1281	13036	8634	7774	1281	13036	0	0	0	0
2020-12-28	42307	18740	18740	0	42307	0	0	42307	0	0.00051	0.00000	16423	15166	1967	21868	16423	15166	1967	21868	0	0	0	0
2020-12-29	84962	42655	42655	0	84962	0	0	84962	0	0.00102	0.00000	28858	36727	3043	38597	28858	36727	3043	38597	0	0	0	0
2020-12-30	142965	58003	58003	0	142965	0	0	142965	0	0.00172	0.00000	46272	68156	4644	59524	46272	68156	4644	59524	0	0	0	0
2020-12-31	181583	38618	38618	0	181583	0	0	181583	0	0.00218	0.00000	59368	86809	6462	74884	59368	86809	6462	74884	0	0	0	0
2021-01-01	206334	24751	24751	0	206334	0	0	206334	0	0.00248	0.00000	67115	96773	7537	87484	67115	96773	7537	87484	0	0	0	0
2021-01-02	258390	52056	52056	0	258390	0	0	258390	0	0.00311	0.00000	86425	120560	10018	108501	86425	120560	10018	108501	0	0	0	0
2021-01-03	283379	24989	24989	0	283379	0	0	283379	0	0.00341	0.00000	96344	131412	10948	119079	96344	131412	10948	119079	0	0	0	0
2021-01-04	332030	48651	48651	0	332030	0	0	332030	0	0.00399	0.00000	111668	156478	13608	134893	111668	156478	13608	134893	0	0	0	0
2021-01-05	384464	52434	52434	0	384464	0	0	384464	0	0.00462	0.00000	127908	183997	16043	153051	127908	183996	16043	153051	0	1	0	0
2021-01-06	443587	59123	59123	0	443587	0	0	443587	0	0.00533	0.00000	145827	214965	19457	174208	145827	214964	19457	174208	0	1	0	0
2021-01-07	502002	58415	58415	0	502002	0	0	502002	0	0.00604	0.00000	163615	245369	22461	191995	163614	245368	22461	191995	1	1	0	0
2021-01-08	562341	60339	60339	0	562341	0	0	562341	0	0.00676	0.00000	183163	276923	25753	211723	183158	276922	25753	211723	5	1	0	0
2021-01-09	619534	57193	57193	0	619534	0	0	619534	0	0.00745	0.00000	205507	301627	28066	234592	205498	301626	28066	234592	9	1	0	0
2021-01-10	652818	33284	33284	0	652818	0	0	652818	0	0.00785	0.00000	218735	315741	29335	246399	218724	315740	29335	246399	11	1	0	0
2021-01-11	718488	65670	65670	0	718488	0	0	718488	0	0.00864	0.00000	241699	347057	32280	266668	241688	347056	32280	266668	11	1	0	0
2021-01-12	800671	82183	82183	0	800671	0	0	800671	0	0.00963	0.00000	267216	389493	35432	290906	267205	389492	35432	290906	11	1	0	0
2021-01-13	899673	99002	99002	0	898878	795	0	899673	0	0.01082	0.00000	299576	441723	38854	320396	299565	441722	38854	320396	11	1	0	0
2021-01-14	999823	100150	100036	114	994380	5443	0	999709	114	0.01202	0.00000	325713	493042	41149	353243	325647	493037	41149	353243	66	5	0	0
