date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23569	23569	23569	0	23569	0	0	23569	0	0.00028	0.00000	8634	7775	1281	13036	8634	7775	1281	13036	0	0	0	0
2020-12-28	42309	18740	18740	0	42309	0	0	42309	0	0.00051	0.00000	16423	15167	1967	21868	16423	15167	1967	21868	0	0	0	0
2020-12-29	84962	42653	42653	0	84962	0	0	84962	0	0.00102	0.00000	28856	36728	3043	38596	28856	36728	3043	38596	0	0	0	0
2020-12-30	142964	58002	58002	0	142964	0	0	142964	0	0.00172	0.00000	46269	68157	4644	59522	46269	68157	4644	59522	0	0	0	0
2020-12-31	181581	38617	38617	0	181581	0	0	181581	0	0.00218	0.00000	59364	86810	6462	74882	59364	86810	6462	74882	0	0	0	0
2021-01-01	206331	24750	24750	0	206331	0	0	206331	0	0.00248	0.00000	67110	96774	7537	87482	67110	96774	7537	87482	0	0	0	0
2021-01-02	258515	52184	52184	0	258515	0	0	258515	0	0.00311	0.00000	86489	120620	10018	108568	86489	120620	10018	108568	0	0	0	0
2021-01-03	283502	24987	24987	0	283502	0	0	283502	0	0.00341	0.00000	96407	131472	10948	119144	96407	131472	10948	119144	0	0	0	0
2021-01-04	332148	48646	48646	0	332148	0	0	332148	0	0.00399	0.00000	111728	156538	13607	134953	111728	156538	13607	134953	0	0	0	0
2021-01-05	384606	52458	52458	0	384606	0	0	384606	0	0.00462	0.00000	127974	184070	16042	153123	127974	184069	16042	153123	0	1	0	0
2021-01-06	443778	59172	59172	0	443778	0	0	443778	0	0.00534	0.00000	145920	215050	19455	174317	145920	215049	19455	174317	0	1	0	0
2021-01-07	502244	58466	58466	0	502244	0	0	502244	0	0.00604	0.00000	163729	245465	22459	192143	163728	245464	22459	192143	1	1	0	0
2021-01-08	562694	60450	60450	0	562694	0	0	562694	0	0.00677	0.00000	183321	277080	25751	211920	183316	277079	25751	211920	5	1	0	0
2021-01-09	619898	57204	57204	0	619898	0	0	619898	0	0.00745	0.00000	205664	301789	28064	234790	205655	301788	28064	234790	9	1	0	0
2021-01-10	653180	33282	33282	0	653180	0	0	653180	0	0.00785	0.00000	218891	315902	29333	246597	218880	315901	29333	246597	11	1	0	0
2021-01-11	718850	65670	65670	0	718850	0	0	718850	0	0.00864	0.00000	241855	347218	32278	266865	241844	347217	32278	266865	11	1	0	0
2021-01-12	800942	82092	82092	0	800942	0	0	800942	0	0.00963	0.00000	267372	389564	35430	291104	267361	389563	35430	291104	11	1	0	0
