date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	23569	23569	23569	0	23569	0	0	23569	0	0.00028	0.00000	8634	7775	1281	13036	8634	7775	1281	13036	0	0	0	0
2020-12-28	42309	18740	18740	0	42309	0	0	42309	0	0.00051	0.00000	16423	15167	1967	21868	16423	15167	1967	21868	0	0	0	0
2020-12-29	84961	42652	42652	0	84961	0	0	84961	0	0.00102	0.00000	28855	36728	3043	38596	28855	36728	3043	38596	0	0	0	0
2020-12-30	142963	58002	58002	0	142963	0	0	142963	0	0.00172	0.00000	46268	68157	4644	59522	46268	68157	4644	59522	0	0	0	0
2020-12-31	181580	38617	38617	0	181580	0	0	181580	0	0.00218	0.00000	59363	86810	6462	74882	59363	86810	6462	74882	0	0	0	0
2021-01-01	206330	24750	24750	0	206330	0	0	206330	0	0.00248	0.00000	67109	96774	7537	87482	67109	96774	7537	87482	0	0	0	0
2021-01-02	258512	52182	52182	0	258512	0	0	258512	0	0.00311	0.00000	86487	120619	10018	108568	86487	120619	10018	108568	0	0	0	0
2021-01-03	283498	24986	24986	0	283498	0	0	283498	0	0.00341	0.00000	96404	131471	10948	119143	96404	131471	10948	119143	0	0	0	0
2021-01-04	332184	48686	48686	0	332184	0	0	332184	0	0.00399	0.00000	111742	156562	13607	134952	111742	156562	13607	134952	0	0	0	0
2021-01-05	384642	52458	52458	0	384642	0	0	384642	0	0.00462	0.00000	127988	184094	16042	153122	127988	184093	16042	153122	0	1	0	0
2021-01-06	443812	59170	59170	0	443812	0	0	443812	0	0.00534	0.00000	145933	215074	19454	174314	145933	215073	19454	174314	0	1	0	0
2021-01-07	502277	58465	58465	0	502277	0	0	502277	0	0.00604	0.00000	163741	245488	22458	192140	163741	245487	22458	192140	0	1	0	0
2021-01-08	562724	60447	60447	0	562724	0	0	562724	0	0.00677	0.00000	183330	277103	25750	211916	183326	277102	25750	211916	4	1	0	0
2021-01-09	620050	57326	57326	0	620050	0	0	620050	0	0.00746	0.00000	205728	301862	28063	234860	205720	301861	28063	234860	8	1	0	0
2021-01-10	653331	33281	33281	0	653331	0	0	653331	0	0.00786	0.00000	218954	315975	29332	246666	218944	315974	29332	246666	10	1	0	0
2021-01-11	718999	65668	65668	0	718999	0	0	718999	0	0.00865	0.00000	241917	347291	32277	266934	241907	347290	32277	266934	10	1	0	0
2021-01-12	801087	82088	82088	0	801087	0	0	801087	0	0.00963	0.00000	267432	389635	35429	291173	267422	389634	35429	291173	10	1	0	0
