date	impfstoff	region	dosen	einrichtung
2021-01-26	comirnaty	DE-HB	5850	impfzentren
2021-01-26	comirnaty	DE-HH	11700	impfzentren
2021-01-26	comirnaty	DE-HE	35100	impfzentren
2021-01-26	comirnaty	DE-MV	11700	impfzentren
2021-01-26	comirnaty	DE-NI	46800	impfzentren
2021-01-26	comirnaty	DE-NW	99450	impfzentren
2021-01-26	comirnaty	DE-RP	32760	impfzentren
2021-01-26	comirnaty	DE-SL	5850	impfzentren
2021-01-26	comirnaty	DE-SN	23400	impfzentren
2021-01-26	comirnaty	DE-ST	11700	impfzentren
2021-01-26	comirnaty	DE-SH	17550	impfzentren
2021-01-26	comirnaty	DE-TH	11700	impfzentren
2021-01-31	moderna	DE-BW	12000	impfzentren
2021-01-31	moderna	DE-BY	14400	impfzentren
2021-01-31	moderna	DE-BE	3600	impfzentren
2021-01-31	moderna	DE-BB	2400	impfzentren
2021-01-31	moderna	DE-HB	1200	impfzentren
2021-01-31	moderna	DE-HH	2400	impfzentren
2021-01-31	moderna	DE-HE	7200	impfzentren
2021-01-31	moderna	DE-MV	1200	impfzentren
2021-01-31	moderna	DE-NI	8400	impfzentren
2021-01-31	moderna	DE-NW	18000	impfzentren
2021-01-31	moderna	DE-RP	4800	impfzentren
2021-01-31	moderna	DE-SL	1200	impfzentren
2021-01-31	moderna	DE-SN	4800	impfzentren
2021-01-31	moderna	DE-ST	2400	impfzentren
2021-01-31	moderna	DE-SH	3600	impfzentren
2021-01-31	moderna	DE-TH	2400	impfzentren
2021-02-02	comirnaty	DE-BW	105300	impfzentren
2021-02-02	comirnaty	DE-BY	117000	impfzentren
2021-02-02	comirnaty	DE-BE	35100	impfzentren
2021-02-02	comirnaty	DE-BB	23400	impfzentren
2021-02-02	comirnaty	DE-HB	7020	impfzentren
2021-02-02	comirnaty	DE-HH	17550	impfzentren
2021-02-02	comirnaty	DE-HE	58500	impfzentren
2021-02-02	comirnaty	DE-MV	11700	impfzentren
2021-02-02	comirnaty	DE-NI	70200	impfzentren
2021-02-02	comirnaty	DE-NW	163800	impfzentren
2021-02-02	comirnaty	DE-RP	38610	impfzentren
2021-02-02	comirnaty	DE-SL	5850	impfzentren
2021-02-02	comirnaty	DE-SN	35100	impfzentren
2021-02-02	comirnaty	DE-ST	17550	impfzentren
2021-02-02	comirnaty	DE-SH	23400	impfzentren
2021-02-02	comirnaty	DE-TH	17550	impfzentren
2021-02-06	astra	DE-BW	48000	impfzentren
2021-02-06	astra	DE-BY	52800	impfzentren
2021-02-06	astra	DE-BE	14400	impfzentren
2021-02-06	astra	DE-BB	9600	impfzentren
2021-02-06	astra	DE-HB	2400	impfzentren
2021-02-06	astra	DE-HH	7200	impfzentren
2021-02-06	astra	DE-HE	26400	impfzentren
2021-02-06	astra	DE-MV	7200	impfzentren
2021-02-06	astra	DE-NI	33600	impfzentren
2021-02-06	astra	DE-NW	74400	impfzentren
2021-02-06	astra	DE-RP	16800	impfzentren
2021-02-06	astra	DE-SL	4800	impfzentren
2021-02-06	astra	DE-SN	16800	impfzentren
2021-02-06	astra	DE-ST	9600	impfzentren
2021-02-06	astra	DE-SH	12000	impfzentren
2021-02-06	astra	DE-TH	9600	impfzentren
2021-02-09	comirnaty	DE-BW	99450	impfzentren
2021-02-09	comirnaty	DE-BY	117000	impfzentren
2021-02-09	comirnaty	DE-BE	35100	impfzentren
2021-02-09	comirnaty	DE-BB	25740	impfzentren
2021-02-09	comirnaty	DE-HB	5850	impfzentren
2021-02-09	comirnaty	DE-HH	17550	impfzentren
2021-02-09	comirnaty	DE-HE	58500	impfzentren
2021-02-09	comirnaty	DE-MV	11700	impfzentren
2021-02-09	comirnaty	DE-NI	76050	impfzentren
2021-02-09	comirnaty	DE-NW	163800	impfzentren
2021-02-09	comirnaty	DE-RP	37440	impfzentren
2021-02-09	comirnaty	DE-SL	5850	impfzentren
2021-02-09	comirnaty	DE-SN	35100	impfzentren
2021-02-09	comirnaty	DE-ST	17550	impfzentren
2021-02-09	comirnaty	DE-SH	23400	impfzentren
2021-02-09	comirnaty	DE-TH	17550	impfzentren
2021-02-12	astra	DE-BW	52800	impfzentren
2021-02-12	astra	DE-BY	60000	impfzentren
2021-02-12	astra	DE-BE	16800	impfzentren
2021-02-12	astra	DE-BB	12000	impfzentren
2021-02-12	astra	DE-HB	2400	impfzentren
2021-02-12	astra	DE-HH	9600	impfzentren
