date	impfstoff	region	dosen
2021-02-01	comirnaty	DE-BY	117000
2021-02-01	comirnaty	DE-BE	35100
2021-02-01	comirnaty	DE-BB	23400
2021-02-01	comirnaty	DE-HB	7020
2021-02-01	comirnaty	DE-HH	17550
2021-02-01	comirnaty	DE-HE	58500
2021-02-01	comirnaty	DE-MV	11700
2021-02-01	comirnaty	DE-NI	70200
2021-02-01	comirnaty	DE-NW	163800
2021-02-01	comirnaty	DE-RP	38610
2021-02-01	comirnaty	DE-SL	5850
2021-02-01	comirnaty	DE-SN	35100
2021-02-01	comirnaty	DE-ST	17550
2021-02-01	comirnaty	DE-SH	23400
2021-02-01	comirnaty	DE-TH	17550
2021-02-06	astra	DE-BW	48000
2021-02-06	astra	DE-BY	52800
2021-02-06	astra	DE-BE	14400
2021-02-06	astra	DE-BB	9600
2021-02-06	astra	DE-HB	2400
2021-02-06	astra	DE-HH	7200
2021-02-06	astra	DE-HE	26400
2021-02-06	astra	DE-MV	7200
2021-02-06	astra	DE-NI	33600
2021-02-06	astra	DE-NW	74400
2021-02-06	astra	DE-RP	16800
2021-02-06	astra	DE-SL	4800
2021-02-06	astra	DE-SN	16800
2021-02-06	astra	DE-ST	9600
2021-02-06	astra	DE-SH	12000
2021-02-06	astra	DE-TH	9600
2021-02-09	comirnaty	DE-BW	99450
2021-02-09	comirnaty	DE-BY	117000
2021-02-09	comirnaty	DE-BE	35100
2021-02-09	comirnaty	DE-BB	25740
2021-02-09	comirnaty	DE-HB	5850
2021-02-09	comirnaty	DE-HH	17550
2021-02-09	comirnaty	DE-HE	58500
2021-02-09	comirnaty	DE-MV	11700
2021-02-09	comirnaty	DE-NI	76050
2021-02-09	comirnaty	DE-NW	163800
2021-02-09	comirnaty	DE-RP	37440
2021-02-09	comirnaty	DE-SL	5850
2021-02-09	comirnaty	DE-SN	35100
2021-02-09	comirnaty	DE-ST	17550
2021-02-09	comirnaty	DE-SH	23400
2021-02-09	comirnaty	DE-TH	17550
2021-02-12	astra	DE-BW	52800
2021-02-12	astra	DE-BY	60000
2021-02-12	astra	DE-BE	16800
2021-02-12	astra	DE-BB	12000
2021-02-12	astra	DE-HB	2400
2021-02-12	astra	DE-HH	9600
2021-02-12	astra	DE-HE	31200
2021-02-12	astra	DE-MV	7200
2021-02-12	astra	DE-NI	38400
