BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
118,57,89,43,207,2,1,0.97,50,05170,Wesel,null,11
245,87.19,36,12.81,281,10,5,3.56,50,05314,"Bonn, Stadt",null,18
404,82.96,83,17.04,487,30,16,6.16,53.33,05315,"Köln, Stadt",null,31
81,77.88,23,22.12,104,0,0,0,0,05316,"Leverkusen, Stadt",null,5
275,94.5,16,5.5,291,5,4,1.72,80,05334,Städteregion Aachen,null,13
40,50.63,39,49.37,79,1,1,1.27,100,05358,Düren,null,7
50,67.57,24,32.43,74,1,0,1.35,0,05362,Rhein-Erft-Kreis,null,7
20,66.67,10,33.33,30,1,1,3.33,100,05366,Euskirchen,null,3
25,69.44,11,30.56,36,3,2,8.33,66.67,05370,Heinsberg,null,3
76,64.96,41,35.04,117,1,0,0.85,0,05374,Oberbergischer Kreis,null,7
41,78.85,11,21.15,52,2,1,3.85,50,05378,Rheinisch-Bergischer Kreis,null,4
66,73.33,24,26.67,90,2,2,2.22,100,05382,Rhein-Sieg-Kreis,null,7
36,53.73,31,46.27,67,0,0,0,0,05512,"Bottrop, Stadt",null,2
91,72.8,34,27.2,125,3,3,2.4,100,05513,"Gelsenkirchen, Stadt",null,8
239,90.19,26,9.81,265,3,1,1.13,33.33,05515,"Münster, Stadt",null,9
47,57.32,35,42.68,82,3,1,3.66,33.33,05554,Borken,null,6
30,69.77,13,30.23,43,0,0,0,0,05558,Coesfeld,null,5
168,68.29,78,31.71,246,1,0,0.41,0,05562,Recklinghausen,null,15
77,71.3,31,28.7,108,0,0,0,0,05566,Steinfurt,null,7
36,50.7,35,49.3,71,1,1,1.41,100,05570,Warendorf,null,6
103,73.57,37,26.43,140,2,0,1.43,0,05711,"Bielefeld, Stadt",null,4
27,65.85,14,34.15,41,0,0,0,0,05754,Gütersloh,null,3
53,69.74,23,30.26,76,1,1,1.32,100,05758,Herford,null,5
25,43.86,32,56.14,57,0,0,0,0,05762,Höxter,null,6
58,75.32,19,24.68,77,0,0,0,0,05766,Lippe,null,2
206,74.64,70,25.36,276,2,2,0.72,100,05770,Minden-Lübbecke,null,8
90,64.75,49,35.25,139,4,3,2.88,75,05774,Paderborn,null,7
157,70.09,67,29.91,224,2,2,0.89,100,05911,"Bochum, Stadt",null,8
258,83.23,52,16.77,310,2,0,0.65,0,05913,"Dortmund, Stadt",null,9
56,70.89,23,29.11,79,3,2,3.8,66.67,05914,"Hagen, Stadt der FernUniversität",null,7
69,60.53,45,39.47,114,1,0,0.88,0,05915,"Hamm, Stadt",null,7
52,78.79,14,21.21,66,5,4,7.58,80,05916,"Herne, Stadt",null,4
102,76.12,32,23.88,134,2,1,1.49,50,05954,Ennepe-Ruhr-Kreis,null,7
90,76.27,28,23.73,118,2,1,1.69,50,05958,Hochsauerlandkreis,null,9
81,65.85,42,34.15,123,0,0,0,0,05962,Märkischer Kreis,null,10
15,40.54,22,59.46,37,0,0,0,0,05966,Olpe,null,3
103,73.57,37,26.43,140,1,1,0.71,100,05970,Siegen-Wittgenstein,null,8
63,66.32,32,33.68,95,0,0,0,0,05974,Soest,null,9
90,76.92,27,23.08,117,2,1,1.71,50,05978,Unna,null,8
85,80.95,20,19.05,105,5,3,4.76,60,06411,"Darmstadt, Wissenschaftsstadt",null,7
252,83.44,50,16.56,302,14,6,4.64,42.86,06412,"Frankfurt am Main, Stadt",null,17
87,84.47,16,15.53,103,1,1,0.97,100,06413,"Offenbach am Main, Stadt",null,4
75,75.76,24,24.24,99,5,3,5.05,60,06414,"Wiesbaden, Landeshauptstadt",null,6
32,66.67,16,33.33,48,2,0,4.17,0,06431,Bergstraße,null,5
26,89.66,3,10.34,29,0,0,0,0,06432,Darmstadt-Dieburg,null,2
14,87.5,2,12.5,16,2,0,12.5,0,06433,Groß-Gerau,null,2
24,82.76,5,17.24,29,0,0,0,0,06434,Hochtaunuskreis,null,3
64,73.56,23,26.44,87,2,0,2.3,0,06435,Main-Kinzig-Kreis,null,7
14,73.68,5,26.32,19,0,0,0,0,06436,Main-Taunus-Kreis,null,1
108,85.71,18,14.29,126,0,0,0,0,06437,Odenwaldkreis,null,2
28,87.5,4,12.5,32,6,3,18.75,50,06438,Offenbach,null,2
12,66.67,6,33.33,18,0,0,0,0,06439,Rheingau-Taunus-Kreis,null,2
72,80.9,17,19.1,89,1,0,1.12,0,06440,Wetteraukreis,null,5
203,83.2,41,16.8,244,4,3,1.64,75,06531,Gießen,null,6
41,67.21,20,32.79,61,0,0,0,0,06532,Lahn-Dill-Kreis,null,2
38,64.41,21,35.59,59,1,0,1.69,0,06533,Limburg-Weilburg,null,4
125,77.16,37,22.84,162,1,0,0.62,0,06534,Marburg-Biedenkopf,null,3
18,48.65,19,51.35,37,0,0,0,0,06535,Vogelsbergkreis,null,4
159,75.36,52,24.64,211,1,1,0.47,100,06611,"Kassel, documenta-Stadt",null,6
85,90.43,9,9.57,94,0,0,0,0,06631,Fulda,null,5
50,65.79,26,34.21,76,0,0,0,0,06632,Hersfeld-Rotenburg,null,3
21,65.63,11,34.38,32,0,0,0,0,06633,Kassel,null,4
19,43.18,25,56.82,44,0,0,0,0,06634,Schwalm-Eder-Kreis,null,3
71,65.74,37,34.26,108,0,0,0,0,06635,Waldeck-Frankenberg,null,7
25,56.82,19,43.18,44,1,0,2.27,0,06636,Werra-Meißner-Kreis,null,3
89,62.68,53,37.32,142,3,0,2.11,0,07111,"Koblenz, kreisfreie Stadt",null,6
14,73.68,5,26.32,19,0,0,0,0,07131,Ahrweiler,null,2
9,52.94,8,47.06,17,1,0,5.88,0,07132,Altenkirchen (Westerwald),null,2
34,64.15,19,35.85,53,0,0,0,0,07133,Bad Kreuznach,null,6
12,48,13,52,25,0,0,0,0,07134,Birkenfeld,null,2
8,61.54,5,38.46,13,0,0,0,0,07135,Cochem-Zell,null,2
22,47.83,24,52.17,46,0,0,0,0,07137,Mayen-Koblenz,null,4
59,67.05,29,32.95,88,1,1,1.14,100,07138,Neuwied,null,7
9,56.25,7,43.75,16,0,0,0,0,07140,Rhein-Hunsrück-Kreis,null,2
30,71.43,12,28.57,42,0,0,0,0,07141,Rhein-Lahn-Kreis,null,5
30,73.17,11,26.83,41,0,0,0,0,07143,Westerwaldkreis,null,4
82,64.57,45,35.43,127,1,0,0.79,0,07211,"Trier, kreisfreie Stadt",null,6
13,50,13,50,26,0,0,0,0,07231,Bernkastel-Wittlich,null,2
9,64.29,5,35.71,14,0,0,0,0,07232,Eifelkreis Bitburg-Prüm,null,2
9,42.86,12,57.14,21,0,0,0,0,07233,Vulkaneifel,null,2
7,43.75,9,56.25,16,1,0,6.25,0,07235,Trier-Saarburg,null,2
