Anzahl der Meldebereiche,date
83,2020-07-22T12:15:00+02:00
81,2020-07-21T12:15:00+02:00
80,2020-07-20T12:15:00+02:00
80,2020-07-19T12:15:00+02:00
80,2020-07-18T12:15:00+02:00
80,2020-07-17T12:15:00+02:00
80,2020-07-16T12:15:00+02:00
80,2020-07-15T12:15:00+02:00
80,2020-07-14T12:15:00+02:00
80,2020-07-13T12:15:00+02:00
80,2020-07-12T12:15:00+02:00
80,2020-07-11T12:15:00+02:00
80,2020-07-10T12:15:00+02:00
80,2020-07-09T12:15:00+02:00
80,2020-07-08T12:15:00+02:00
79,2020-07-07T12:15:00+02:00
79,2020-07-06T12:15:00+02:00
79,2020-07-05T12:15:00+02:00
79,2020-07-04T12:15:00+02:00
79,2020-07-03T12:15:00+02:00
79,2020-07-02T12:15:00+02:00
79,2020-07-01T12:15:00+02:00
79,2020-06-30T12:15:00+02:00
79,2020-06-29T12:15:00+02:00
79,2020-06-28T12:15:00+02:00
79,2020-06-27T12:15:00+02:00
79,2020-06-26T12:15:00+02:00
80,2020-06-25T12:15:00+02:00
80,2020-06-24T12:15:00+02:00
80,2020-06-23T12:15:00+02:00
80,2020-06-22T12:15:00+02:00
80,2020-06-21T12:15:00+02:00
80,2020-06-20T12:15:00+02:00
80,2020-06-19T12:15:00+02:00
80,2020-06-18T12:15:00+02:00
80,2020-06-17T12:15:00+02:00
80,2020-06-16T12:15:00+02:00
80,2020-06-15T12:15:00+02:00
80,2020-06-14T12:15:00+02:00
80,2020-06-13T12:15:00+02:00
79,2020-06-12T12:15:00+02:00
79,2020-06-11T12:15:00+02:00
79,2020-06-10T12:15:00+02:00
79,2020-06-09T12:15:00+02:00
79,2020-06-08T12:15:00+02:00
79,2020-06-07T12:15:00+02:00
79,2020-06-06T12:15:00+02:00
79,2020-06-05T12:15:00+02:00
79,2020-06-04T12:15:00+02:00
79,2020-06-03T12:15:00+02:00
79,2020-06-02T12:15:00+02:00
79,2020-06-01T12:15:00+02:00
79,2020-05-31T12:15:00+02:00
79,2020-05-30T12:15:00+02:00
79,2020-05-29T12:15:00+02:00
79,2020-05-28T12:15:00+02:00
79,2020-05-27T12:15:00+02:00
79,2020-05-26T12:15:00+02:00
79,2020-05-25T12:15:00+02:00
79,2020-05-24T12:15:00+02:00
79,2020-05-23T12:15:00+02:00
79,2020-05-22T12:15:00+02:00
79,2020-05-21T12:15:00+02:00
78,2020-05-20T12:15:00+02:00
78,2020-05-19T12:15:00+02:00
